CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.86E+06,6.33E+06,7.43E+06,2.49E+05,2.81E+05,,,,,,
1986,7.99E+06,7.45E+06,8.56E+06,2.42E+05,2.82E+05,,,,,,
1987,6.11E+06,5.76E+06,6.49E+06,1.56E+05,1.86E+05,,,,,,
1988,5.01E+06,4.73E+06,5.31E+06,1.13E+05,1.48E+05,,,,,,
1989,6.11E+06,5.80E+06,6.44E+06,1.21E+05,1.64E+05,,,,,,
1990,8.27E+06,7.84E+06,8.71E+06,1.74E+05,2.21E+05,,,,,,
1991,4.92E+06,4.64E+06,5.20E+06,1.02E+05,1.44E+05,,,,,,
1992,6.26E+06,5.94E+06,6.59E+06,1.35E+05,1.66E+05,,,,,,
1993,7.82E+06,7.36E+06,8.31E+06,1.78E+05,2.42E+05,,,,,,
1994,7.96E+06,7.53E+06,8.42E+06,1.72E+05,2.27E+05,,,,,,
1995,4.85E+06,4.58E+06,5.12E+06,1.05E+05,1.38E+05,,,,,,
1996,9.48E+06,8.95E+06,1.00E+07,2.12E+05,2.77E+05,,,,,,
1997,5.37E+06,5.09E+06,5.66E+06,1.10E+05,1.46E+05,,,,,,
1998,5.95E+06,5.62E+06,6.29E+06,1.14E+05,1.70E+05,,,,,,
1999,4.96E+06,4.70E+06,5.22E+06,9.02E+04,1.32E+05,,,,,,
2000,5.18E+06,4.93E+06,5.43E+06,8.64E+04,1.27E+05,,,,,,
2001,4.41E+06,4.20E+06,4.64E+06,7.75E+04,1.11E+05,,,,,,
2002,5.95E+06,5.68E+06,6.24E+06,9.91E+04,1.43E+05,,,,,,
2003,9.80E+06,9.33E+06,1.03E+07,1.81E+05,2.43E+05,,,,,,
2004,1.01E+07,9.52E+06,1.06E+07,2.28E+05,2.86E+05,,,,,,
