CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.14E+05,2.28E+05,4.21E+05,3.39E+04,4.92E+04,,,,,,
1986,4.11E+05,3.13E+05,5.32E+05,3.54E+04,5.60E+04,,,,,,
1987,2.87E+05,2.26E+05,3.59E+05,1.98E+04,3.39E+04,,,,,,
1988,2.19E+05,1.72E+05,2.75E+05,1.35E+04,2.64E+04,,,,,,
1989,3.26E+05,2.60E+05,4.03E+05,1.80E+04,3.64E+04,,,,,,
1990,4.97E+05,3.93E+05,6.20E+05,3.32E+04,5.80E+04,,,,,,
1991,2.57E+05,1.96E+05,3.31E+05,1.79E+04,3.46E+04,,,,,,
1992,3.15E+05,2.50E+05,3.92E+05,2.31E+04,3.62E+04,,,,,,
1993,4.66E+05,3.55E+05,6.02E+05,3.26E+04,6.32E+04,,,,,,
1994,4.56E+05,3.55E+05,5.78E+05,3.18E+04,5.69E+04,,,,,,
1995,2.61E+05,1.97E+05,3.39E+05,2.10E+04,3.62E+04,,,,,,
1996,7.03E+05,5.40E+05,8.99E+05,5.41E+04,9.19E+04,,,,,,
1997,2.77E+05,2.15E+05,3.52E+05,2.20E+04,3.49E+04,,,,,,
1998,4.02E+05,3.04E+05,5.21E+05,2.94E+04,5.53E+04,,,,,,
1999,2.68E+05,2.04E+05,3.45E+05,2.08E+04,3.61E+04,,,,,,
2000,3.33E+05,2.58E+05,4.24E+05,2.65E+04,4.23E+04,,,,,,
2001,2.21E+05,1.67E+05,2.87E+05,2.02E+04,3.09E+04,,,,,,
2002,3.93E+05,2.96E+05,5.11E+05,4.10E+04,5.50E+04,,,,,,
2003,9.28E+05,6.76E+05,1.24E+06,1.20E+05,1.45E+05,,,,,,
2004,1.10E+06,7.55E+05,1.54E+06,1.73E+05,2.02E+05,,,,,,
