CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.39E+08,5.88E+07,1.61E+09,3.62E+08,4.47E+08,,,,,,
1986,1.07E+06,6.07E+05,1.75E+06,1.87E+05,2.94E+05,,,,,,
1987,6.10E+07,1.56E+07,1.66E+08,3.09E+07,4.03E+07,,,,,,
1988,2.40E+06,1.23E+06,4.26E+06,4.34E+05,7.82E+05,,,,,,
1989,5.34E+07,1.17E+07,1.57E+08,2.71E+07,3.96E+07,,,,,,
1990,8.08E+07,1.50E+07,2.57E+08,4.76E+07,6.71E+07,,,,,,
1991,4.85E+06,2.09E+06,9.65E+06,1.10E+06,1.97E+06,,,,,,
1992,5.30E+07,1.34E+07,1.45E+08,2.61E+07,3.55E+07,,,,,,
1993,8.14E+07,1.65E+07,2.49E+08,4.76E+07,6.38E+07,,,,,,
1994,8.68E+06,4.45E+06,1.53E+07,2.00E+06,2.81E+06,,,,,,
1995,1.87E+09,2.20E+08,7.22E+09,1.70E+09,2.06E+09,,,,,,
1996,8.33E+08,1.03E+08,3.15E+09,6.84E+08,8.92E+08,,,,,,
1997,8.16E+06,2.70E+06,1.92E+07,2.34E+06,4.35E+06,,,,,,
1998,1.13E+08,2.86E+07,3.10E+08,6.13E+07,7.58E+07,,,,,,
1999,1.54E+08,1.76E+07,5.98E+08,1.10E+08,1.72E+08,,,,,,
2000,1.07E+06,7.43E+05,1.49E+06,1.07E+05,1.92E+05,,,,,,
2001,2.52E+06,1.21E+06,4.68E+06,4.74E+05,8.98E+05,,,,,,
2002,7.59E+05,4.71E+05,1.16E+06,1.08E+05,1.76E+05,,,,,,
2003,3.55E+08,4.37E+07,1.34E+09,2.64E+08,3.80E+08,,,,,,
2004,3.62E+07,8.63E+06,1.02E+08,1.70E+07,2.53E+07,,,,,,
