CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.06E+05,5.69E+05,6.46E+05,1.63E+04,1.96E+04,,,,,,
1986,5.50E+05,5.20E+05,5.81E+05,1.22E+04,1.57E+04,,,,,,
1987,6.17E+05,5.88E+05,6.48E+05,1.09E+04,1.52E+04,,,,,,
1988,5.83E+05,5.57E+05,6.10E+05,8.87E+03,1.37E+04,,,,,,
1989,7.09E+05,6.78E+05,7.42E+05,1.01E+04,1.64E+04,,,,,,
1990,5.75E+05,5.51E+05,6.00E+05,7.98E+03,1.26E+04,,,,,,
1991,4.29E+05,4.09E+05,4.49E+05,6.38E+03,1.02E+04,,,,,,
1992,3.96E+05,3.78E+05,4.14E+05,5.99E+03,9.22E+03,,,,,,
1993,5.26E+05,5.01E+05,5.52E+05,8.06E+03,1.30E+04,,,,,,
1994,5.14E+05,4.90E+05,5.39E+05,8.00E+03,1.26E+04,,,,,,
1995,3.54E+05,3.38E+05,3.71E+05,5.74E+03,8.52E+03,,,,,,
1996,6.48E+05,6.19E+05,6.78E+05,1.02E+04,1.51E+04,,,,,,
1997,4.35E+05,4.15E+05,4.56E+05,6.79E+03,1.03E+04,,,,,,
1998,4.35E+05,4.14E+05,4.57E+05,6.95E+03,1.10E+04,,,,,,
1999,3.26E+05,3.11E+05,3.42E+05,5.45E+03,8.04E+03,,,,,,
2000,3.72E+05,3.54E+05,3.90E+05,6.72E+03,9.26E+03,,,,,,
2001,3.55E+05,3.37E+05,3.75E+05,7.48E+03,9.71E+03,,,,,,
2002,2.91E+05,2.73E+05,3.09E+05,7.65E+03,9.18E+03,,,,,,
2003,6.93E+05,6.45E+05,7.43E+05,2.19E+04,2.50E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
