CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,9.25E+05,8.74E+05,9.78E+05,2.15E+04,2.65E+04,,,,,,
1986,8.26E+05,7.86E+05,8.66E+05,1.56E+04,2.05E+04,,,,,,
1987,9.47E+05,9.08E+05,9.88E+05,1.42E+04,2.03E+04,,,,,,
1988,8.92E+05,8.56E+05,9.28E+05,1.16E+04,1.83E+04,,,,,,
1989,1.15E+06,1.10E+06,1.20E+06,1.47E+04,2.48E+04,,,,,,
1990,8.84E+05,8.51E+05,9.18E+05,1.10E+04,1.72E+04,,,,,,
1991,6.37E+05,6.11E+05,6.65E+05,8.69E+03,1.38E+04,,,,,,
1992,5.85E+05,5.60E+05,6.10E+05,8.27E+03,1.27E+04,,,,,,
1993,8.31E+05,7.93E+05,8.69E+05,1.21E+04,1.93E+04,,,,,,
1994,8.03E+05,7.68E+05,8.40E+05,1.19E+04,1.83E+04,,,,,,
1995,5.22E+05,4.99E+05,5.45E+05,8.07E+03,1.18E+04,,,,,,
1996,1.08E+06,1.03E+06,1.12E+06,1.60E+04,2.34E+04,,,,,,
1997,6.57E+05,6.30E+05,6.86E+05,9.76E+03,1.43E+04,,,,,,
1998,6.71E+05,6.41E+05,7.03E+05,1.01E+04,1.58E+04,,,,,,
1999,4.83E+05,4.62E+05,5.06E+05,7.23E+03,1.14E+04,,,,,,
2000,5.48E+05,5.25E+05,5.72E+05,8.76E+03,1.21E+04,,,,,,
2001,5.21E+05,4.97E+05,5.46E+05,9.46E+03,1.25E+04,,,,,,
2002,4.18E+05,3.96E+05,4.41E+05,9.31E+03,1.14E+04,,,,,,
2003,1.19E+06,1.12E+06,1.27E+06,3.26E+04,3.79E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
