CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.59E+04,5.71E+03,3.58E+04,5.30E+03,7.89E+03,,,,,,
1986,9.02E+03,4.33E+03,1.67E+04,2.12E+03,3.20E+03,,,,,,
1987,1.51E+04,7.52E+03,2.73E+04,3.85E+03,5.10E+03,,,,,,
1988,7.06E+03,4.40E+03,1.08E+04,1.15E+03,1.63E+03,,,,,,
1989,5.23E+04,1.15E+04,1.54E+05,2.61E+04,3.88E+04,,,,,,
1990,1.38E+04,7.36E+03,2.37E+04,3.09E+03,4.21E+03,,,,,,
1991,6.90E+03,3.30E+03,1.28E+04,1.47E+03,2.46E+03,,,,,,
1992,8.17E+03,4.73E+03,1.32E+04,1.50E+03,2.17E+03,,,,,,
1993,5.27E+04,1.08E+04,1.61E+05,2.79E+04,4.11E+04,,,,,,
1994,9.29E+03,5.76E+03,1.42E+04,1.68E+03,2.17E+03,,,,,,
1995,7.79E+03,4.37E+03,1.29E+04,1.56E+03,2.19E+03,,,,,,
1996,3.57E+04,1.39E+04,7.57E+04,1.26E+04,1.61E+04,,,,,,
1997,6.44E+03,3.97E+03,9.89E+03,1.09E+03,1.52E+03,,,,,,
1998,1.18E+04,6.20E+03,2.04E+04,2.90E+03,3.67E+03,,,,,,
1999,2.41E+04,5.52E+03,6.95E+04,1.06E+04,1.74E+04,,,,,,
2000,6.13E+03,3.75E+03,9.47E+03,1.02E+03,1.47E+03,,,,,,
2001,7.50E+03,3.79E+03,1.34E+04,1.66E+03,2.47E+03,,,,,,
2002,4.38E+03,2.78E+03,6.59E+03,7.04E+02,9.79E+02,,,,,,
2003,6.19E+04,2.22E+04,1.39E+05,2.53E+04,3.06E+04,,,,,,
2004,1.85E+04,7.63E+03,3.81E+04,6.04E+03,7.93E+03,,,,,,
