CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.82E+06,2.25E+06,3.50E+06,2.55E+05,3.21E+05,,,,,,
1986,1.28E+06,1.05E+06,1.55E+06,9.66E+04,1.30E+05,,,,,,
1987,3.06E+06,2.58E+06,3.61E+06,1.88E+05,2.64E+05,,,,,,
1988,9.29E+05,7.95E+05,1.08E+06,4.85E+04,7.24E+04,,,,,,
1989,3.11E+06,2.73E+06,3.52E+06,1.25E+05,2.03E+05,,,,,,
1990,2.73E+06,2.41E+06,3.07E+06,9.67E+04,1.67E+05,,,,,,
1991,2.02E+06,1.76E+06,2.31E+06,6.95E+04,1.39E+05,,,,,,
1992,1.91E+06,1.67E+06,2.16E+06,6.18E+04,1.25E+05,,,,,,
1993,2.44E+06,2.12E+06,2.78E+06,8.91E+04,1.70E+05,,,,,,
1994,2.18E+06,1.90E+06,2.49E+06,8.11E+04,1.53E+05,,,,,,
1995,1.67E+06,1.45E+06,1.91E+06,5.90E+04,1.18E+05,,,,,,
1996,2.89E+06,2.55E+06,3.27E+06,1.06E+05,1.84E+05,,,,,,
1997,1.38E+06,1.22E+06,1.57E+06,5.30E+04,9.04E+04,,,,,,
1998,2.57E+06,2.23E+06,2.95E+06,1.05E+05,1.84E+05,,,,,,
1999,8.84E+05,7.59E+05,1.02E+06,3.16E+04,6.71E+04,,,,,,
2000,8.86E+05,7.74E+05,1.01E+06,3.38E+04,6.01E+04,,,,,,
2001,5.88E+05,4.90E+05,7.00E+05,2.59E+04,5.36E+04,,,,,,
2002,6.49E+05,5.42E+05,7.70E+05,3.43E+04,5.81E+04,,,,,,
2003,3.50E+06,2.99E+06,4.06E+06,2.22E+05,2.74E+05,,,,,,
2004,1.89E+06,1.58E+06,2.24E+06,1.42E+05,1.70E+05,,,,,,
