CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.12E+07,1.15E+07,3.58E+07,6.23E+06,6.27E+06,,,,,,
1986,2.76E+07,1.64E+07,4.36E+07,6.94E+06,6.98E+06,,,,,,
1987,1.66E+07,1.07E+07,2.48E+07,3.59E+06,3.62E+06,,,,,,
1988,1.22E+07,8.39E+06,1.72E+07,2.23E+06,2.26E+06,,,,,,
1989,1.22E+07,8.98E+06,1.61E+07,1.79E+06,1.83E+06,,,,,,
1990,1.70E+07,1.33E+07,2.14E+07,2.03E+06,2.07E+06,,,,,,
1991,9.93E+06,8.06E+06,1.21E+07,9.88E+05,1.03E+06,,,,,,
1992,1.10E+07,9.40E+06,1.27E+07,7.99E+05,8.41E+05,,,,,,
1993,9.53E+06,8.32E+06,1.09E+07,5.65E+05,6.46E+05,,,,,,
1994,9.76E+06,8.81E+06,1.08E+07,4.29E+05,5.09E+05,,,,,,
1995,5.57E+06,5.07E+06,6.11E+06,2.08E+05,2.65E+05,,,,,,
1996,1.06E+07,9.72E+06,1.15E+07,3.54E+05,4.54E+05,,,,,,
1997,5.60E+06,5.15E+06,6.07E+06,1.74E+05,2.36E+05,,,,,,
1998,7.18E+06,6.59E+06,7.80E+06,2.13E+05,3.07E+05,,,,,,
1999,4.99E+06,4.58E+06,5.42E+06,1.47E+05,2.14E+05,,,,,,
2000,7.54E+06,7.00E+06,8.12E+06,1.98E+05,2.87E+05,,,,,,
2001,4.60E+06,4.24E+06,4.98E+06,1.16E+05,1.90E+05,,,,,,
2002,6.96E+06,6.49E+06,7.45E+06,1.66E+05,2.43E+05,,,,,,
2003,1.01E+07,9.42E+06,1.09E+07,2.71E+05,3.70E+05,,,,,,
2004,9.75E+06,8.93E+06,1.06E+07,3.56E+05,4.28E+05,,,,,,
