CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.82E+04,3.53E+04,4.12E+04,1.26E+03,1.49E+03,,,,,,
1986,4.80E+04,4.49E+04,5.12E+04,1.33E+03,1.62E+03,,,,,,
1987,9.81E+04,9.22E+04,1.04E+05,2.50E+03,3.05E+03,,,,,,
1988,1.46E+05,1.37E+05,1.56E+05,3.96E+03,4.83E+03,,,,,,
1989,2.38E+05,2.15E+05,2.63E+05,1.05E+04,1.23E+04,,,,,,
1990,1.51E+05,1.43E+05,1.60E+05,3.34E+03,4.14E+03,,,,,,
1991,1.03E+05,9.78E+04,1.09E+05,2.19E+03,2.94E+03,,,,,,
1992,3.96E+04,3.80E+04,4.12E+04,6.45E+02,8.25E+02,,,,,,
1993,2.43E+05,2.22E+05,2.66E+05,1.01E+04,1.13E+04,,,,,,
1994,1.94E+05,1.82E+05,2.08E+05,5.62E+03,6.63E+03,,,,,,
1995,4.04E+04,3.88E+04,4.21E+04,6.86E+02,8.25E+02,,,,,,
1996,3.86E+05,3.61E+05,4.12E+05,1.20E+04,1.30E+04,,,,,,
1997,1.54E+05,1.46E+05,1.62E+05,3.39E+03,4.11E+03,,,,,,
1998,1.71E+05,1.58E+05,1.86E+05,5.61E+03,6.97E+03,,,,,,
1999,2.91E+04,2.80E+04,3.03E+04,5.24E+02,5.94E+02,,,,,,
2000,7.01E+04,6.69E+04,7.35E+04,1.30E+03,1.68E+03,,,,,,
2001,1.03E+05,9.79E+04,1.09E+05,2.09E+03,2.79E+03,,,,,,
2002,2.72E+04,2.58E+04,2.85E+04,6.43E+02,6.92E+02,,,,,,
2003,3.98E+05,3.62E+05,4.36E+05,1.78E+04,1.88E+04,,,,,,
2004,1.59E+05,1.48E+05,1.71E+05,5.29E+03,5.93E+03,,,,,,
