CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,5.40E+06,4.90E+06,5.92E+06,2.14E+05,2.60E+05,,,,,,
1986,5.21E+06,4.78E+06,5.67E+06,1.76E+05,2.26E+05,,,,,,
1987,4.30E+06,3.98E+06,4.63E+06,1.27E+05,1.67E+05,,,,,,
1988,3.61E+06,3.35E+06,3.88E+06,9.79E+04,1.36E+05,,,,,,
1989,5.71E+06,5.32E+06,6.13E+06,1.62E+05,2.07E+05,,,,,,
1990,5.76E+06,5.35E+06,6.18E+06,1.64E+05,2.12E+05,,,,,,
1991,3.90E+06,3.60E+06,4.21E+06,1.12E+05,1.54E+05,,,,,,
1992,2.85E+06,2.64E+06,3.07E+06,8.41E+04,1.10E+05,,,,,,
1993,6.15E+06,5.66E+06,6.67E+06,1.88E+05,2.57E+05,,,,,,
1994,5.72E+06,5.27E+06,6.19E+06,1.71E+05,2.33E+05,,,,,,
1995,3.87E+06,3.58E+06,4.18E+06,1.17E+05,1.51E+05,,,,,,
1996,9.66E+06,8.96E+06,1.04E+07,2.90E+05,3.66E+05,,,,,,
1997,5.06E+06,4.70E+06,5.44E+06,1.36E+05,1.88E+05,,,,,,
1998,6.25E+06,5.82E+06,6.71E+06,1.59E+05,2.26E+05,,,,,,
1999,3.58E+06,3.35E+06,3.83E+06,8.22E+04,1.23E+05,,,,,,
2000,3.55E+06,3.33E+06,3.78E+06,7.66E+04,1.15E+05,,,,,,
2001,2.85E+06,2.67E+06,3.05E+06,6.29E+04,9.91E+04,,,,,,
2002,3.83E+06,3.60E+06,4.08E+06,7.87E+04,1.23E+05,,,,,,
2003,1.08E+07,1.01E+07,1.15E+07,2.64E+05,3.49E+05,,,,,,
2004,9.94E+06,9.22E+06,1.07E+07,3.06E+05,3.80E+05,,,,,,
