CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.09E+05,8.04E+04,1.45E+05,1.36E+04,1.66E+04,,,,,,
1986,9.89E+04,7.23E+04,1.32E+05,1.07E+04,1.53E+04,,,,,,
1987,8.17E+04,6.35E+04,1.03E+05,7.29E+03,1.02E+04,,,,,,
1988,9.79E+04,6.98E+04,1.34E+05,7.83E+03,1.63E+04,,,,,,
1989,1.52E+05,1.18E+05,1.92E+05,1.12E+04,1.90E+04,,,,,,
1990,1.12E+05,8.87E+04,1.39E+05,6.67E+03,1.29E+04,,,,,,
1991,6.85E+04,5.68E+04,8.19E+04,3.41E+03,6.42E+03,,,,,,
1992,9.97E+04,8.08E+04,1.22E+05,4.55E+03,1.04E+04,,,,,,
1993,2.21E+05,1.72E+05,2.80E+05,1.08E+04,2.77E+04,,,,,,
1994,1.82E+05,1.50E+05,2.19E+05,7.96E+03,1.77E+04,,,,,,
1995,8.39E+04,7.06E+04,9.90E+04,3.57E+03,7.25E+03,,,,,,
1996,3.81E+05,3.04E+05,4.71E+05,1.86E+04,4.28E+04,,,,,,
1997,1.10E+05,7.28E+04,1.59E+05,4.17E+03,2.21E+04,,,,,,
1998,1.73E+05,1.42E+05,2.08E+05,6.36E+03,1.69E+04,,,,,,
1999,7.26E+04,6.13E+04,8.54E+04,2.53E+03,6.15E+03,,,,,,
2000,7.27E+04,6.22E+04,8.44E+04,2.84E+03,5.66E+03,,,,,,
2001,5.14E+04,4.28E+04,6.13E+04,2.23E+03,4.74E+03,,,,,,
2002,5.62E+04,4.71E+04,6.65E+04,2.82E+03,4.95E+03,,,,,,
2003,2.91E+05,2.27E+05,3.67E+05,1.69E+04,3.60E+04,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
