CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.23E+05,6.93E+05,9.71E+05,5.43E+04,7.10E+04,,,,,,
1986,5.12E+05,4.37E+05,5.96E+05,2.65E+04,4.05E+04,,,,,,
1987,4.64E+05,4.05E+05,5.28E+05,2.04E+04,3.15E+04,,,,,,
1988,4.32E+05,3.80E+05,4.89E+05,1.72E+04,2.78E+04,,,,,,
1989,6.68E+05,6.05E+05,7.37E+05,2.42E+04,3.37E+04,,,,,,
1990,5.85E+05,5.22E+05,6.54E+05,2.27E+04,3.38E+04,,,,,,
1991,4.05E+05,3.61E+05,4.52E+05,1.45E+04,2.31E+04,,,,,,
1992,3.43E+05,3.09E+05,3.81E+05,1.09E+04,1.83E+04,,,,,,
1993,8.97E+05,7.49E+05,1.06E+06,6.06E+04,8.04E+04,,,,,,
1994,6.29E+05,5.46E+05,7.22E+05,3.18E+04,4.51E+04,,,,,,
1995,3.12E+05,2.82E+05,3.43E+05,9.78E+03,1.56E+04,,,,,,
1996,1.14E+06,9.28E+05,1.39E+06,8.41E+04,1.17E+05,,,,,,
1997,4.07E+05,3.59E+05,4.59E+05,1.53E+04,2.53E+04,,,,,,
1998,5.85E+05,5.16E+05,6.61E+05,2.62E+04,3.69E+04,,,,,,
1999,2.21E+05,1.94E+05,2.51E+05,7.77E+03,1.45E+04,,,,,,
2000,2.29E+05,2.01E+05,2.59E+05,7.55E+03,1.47E+04,,,,,,
2001,2.19E+05,1.96E+05,2.45E+05,7.48E+03,1.25E+04,,,,,,
2002,2.50E+05,2.24E+05,2.78E+05,8.85E+03,1.38E+04,,,,,,
2003,8.15E+05,7.13E+05,9.29E+05,4.44E+04,5.51E+04,,,,,,
2004,6.19E+05,5.33E+05,7.15E+05,3.62E+04,4.64E+04,,,,,,
