CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.79E+05,2.09E+05,3.67E+05,3.42E+04,4.04E+04,,,,,,
1986,1.52E+05,1.20E+05,1.90E+05,1.55E+04,1.78E+04,,,,,,
1987,2.79E+05,2.25E+05,3.42E+05,2.37E+04,3.01E+04,,,,,,
1988,1.31E+05,1.10E+05,1.54E+05,8.91E+03,1.13E+04,,,,,,
1989,2.27E+05,1.95E+05,2.62E+05,1.21E+04,1.70E+04,,,,,,
1990,1.85E+05,1.60E+05,2.13E+05,8.36E+03,1.35E+04,,,,,,
1991,1.34E+05,1.15E+05,1.55E+05,5.27E+03,1.04E+04,,,,,,
1992,1.29E+05,1.12E+05,1.48E+05,4.70E+03,9.03E+03,,,,,,
1993,2.99E+05,2.57E+05,3.46E+05,1.27E+04,2.28E+04,,,,,,
1994,2.27E+05,1.93E+05,2.64E+05,9.25E+03,1.80E+04,,,,,,
1995,1.50E+05,1.33E+05,1.69E+05,5.76E+03,9.35E+03,,,,,,
1996,2.76E+05,2.38E+05,3.17E+05,1.21E+04,2.00E+04,,,,,,
1997,1.48E+05,1.29E+05,1.68E+05,5.72E+03,9.90E+03,,,,,,
1998,2.84E+05,2.39E+05,3.35E+05,1.38E+04,2.44E+04,,,,,,
1999,1.14E+05,9.78E+04,1.32E+05,4.33E+03,8.60E+03,,,,,,
2000,1.22E+05,1.06E+05,1.39E+05,4.82E+03,8.52E+03,,,,,,
2001,1.01E+05,8.39E+04,1.20E+05,4.52E+03,9.24E+03,,,,,,
2002,9.36E+04,7.80E+04,1.11E+05,5.49E+03,8.52E+03,,,,,,
2003,4.37E+05,3.62E+05,5.24E+05,3.27E+04,4.14E+04,,,,,,
2004,2.46E+05,2.00E+05,2.99E+05,2.13E+04,2.54E+04,,,,,,
