CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.05E+04,6.40E+04,9.99E+04,7.05E+03,9.19E+03,,,,,,
1986,3.34E+04,2.83E+04,3.91E+04,2.33E+03,2.78E+03,,,,,,
1987,7.13E+04,6.11E+04,8.28E+04,4.11E+03,5.53E+03,,,,,,
1988,3.61E+04,3.14E+04,4.13E+04,1.70E+03,2.55E+03,,,,,,
1989,7.46E+04,6.62E+04,8.38E+04,2.87E+03,4.48E+03,,,,,,
1990,7.22E+04,6.33E+04,8.20E+04,2.40E+03,4.79E+03,,,,,,
1991,3.43E+04,3.00E+04,3.89E+04,9.88E+02,2.27E+03,,,,,,
1992,3.99E+04,3.52E+04,4.50E+04,1.11E+03,2.50E+03,,,,,,
1993,1.09E+05,9.53E+04,1.24E+05,3.73E+03,7.44E+03,,,,,,
1994,1.19E+05,1.03E+05,1.37E+05,4.44E+03,8.82E+03,,,,,,
1995,6.48E+04,5.69E+04,7.35E+04,1.96E+03,4.24E+03,,,,,,
1996,1.56E+05,1.37E+05,1.76E+05,5.64E+03,9.91E+03,,,,,,
1997,7.09E+04,6.35E+04,7.90E+04,2.11E+03,3.95E+03,,,,,,
1998,1.53E+05,1.31E+05,1.78E+05,6.92E+03,1.20E+04,,,,,,
1999,4.03E+04,3.51E+04,4.59E+04,1.15E+03,2.75E+03,,,,,,
2000,4.73E+04,4.24E+04,5.26E+04,1.50E+03,2.59E+03,,,,,,
2001,4.18E+04,3.60E+04,4.83E+04,1.50E+03,3.14E+03,,,,,,
2002,2.74E+04,2.37E+04,3.16E+04,1.21E+03,2.01E+03,,,,,,
2003,2.45E+05,2.10E+05,2.83E+05,1.42E+04,1.86E+04,,,,,,
2004,1.32E+05,1.13E+05,1.54E+05,8.58E+03,1.05E+04,,,,,,
