CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.02E+07,2.58E+06,2.81E+07,5.34E+06,6.86E+06,,,,,,
1986,1.03E+06,5.02E+05,1.88E+06,2.22E+05,3.57E+05,,,,,,
1987,8.11E+06,2.76E+06,1.87E+07,3.31E+06,4.21E+06,,,,,,
1988,1.51E+06,7.13E+05,2.83E+06,3.28E+05,5.47E+05,,,,,,
1989,5.36E+06,2.17E+06,1.11E+07,1.75E+06,2.34E+06,,,,,,
1990,6.48E+06,2.38E+06,1.43E+07,2.43E+06,3.12E+06,,,,,,
1991,1.90E+06,6.79E+05,4.25E+06,5.61E+05,9.39E+05,,,,,,
1992,1.06E+06,6.44E+05,1.64E+06,1.56E+05,2.57E+05,,,,,,
1993,1.37E+07,4.15E+06,3.38E+07,6.47E+06,7.86E+06,,,,,,
1994,1.79E+07,4.45E+06,4.95E+07,1.01E+07,1.21E+07,,,,,,
1995,5.83E+06,1.60E+06,1.52E+07,2.57E+06,3.64E+06,,,,,,
1996,1.74E+07,5.47E+06,4.21E+07,8.09E+06,9.70E+06,,,,,,
1997,3.33E+06,1.95E+06,5.34E+06,6.50E+05,8.72E+05,,,,,,
1998,2.50E+07,7.82E+06,6.08E+07,1.25E+07,1.40E+07,,,,,,
1999,1.24E+06,5.03E+05,2.58E+06,2.70E+05,5.41E+05,,,,,,
2000,1.26E+06,7.03E+05,2.09E+06,2.00E+05,3.56E+05,,,,,,
2001,2.01E+06,7.90E+05,4.24E+06,5.27E+05,9.02E+05,,,,,,
2002,2.78E+05,1.79E+05,4.13E+05,4.38E+04,6.00E+04,,,,,,
2003,3.67E+07,1.36E+07,8.07E+07,1.60E+07,1.76E+07,,,,,,
2004,5.82E+06,2.92E+06,1.04E+07,1.54E+06,1.94E+06,,,,,,
