CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.22E+04,5.17E+04,7.42E+04,5.25E+03,5.75E+03,,,,,,
1986,5.39E+04,4.56E+04,6.32E+04,3.90E+03,4.48E+03,,,,,,
1987,4.65E+04,4.05E+04,5.32E+04,2.82E+03,3.24E+03,,,,,,
1988,4.59E+04,3.98E+04,5.27E+04,2.39E+03,3.29E+03,,,,,,
1989,6.00E+04,5.28E+04,6.80E+04,2.92E+03,3.86E+03,,,,,,
1990,4.87E+04,4.34E+04,5.43E+04,1.93E+03,2.79E+03,,,,,,
1991,3.42E+04,3.11E+04,3.75E+04,1.17E+03,1.64E+03,,,,,,
1992,4.10E+04,3.71E+04,4.51E+04,1.31E+03,2.06E+03,,,,,,
1993,6.45E+04,5.74E+04,7.23E+04,1.97E+03,3.82E+03,,,,,,
1994,5.56E+04,5.04E+04,6.12E+04,1.63E+03,2.75E+03,,,,,,
1995,3.29E+04,3.01E+04,3.59E+04,9.50E+02,1.48E+03,,,,,,
1996,9.10E+04,8.14E+04,1.01E+05,2.85E+03,5.11E+03,,,,,,
1997,3.47E+04,3.01E+04,3.97E+04,8.01E+02,2.43E+03,,,,,,
1998,4.56E+04,4.15E+04,4.99E+04,1.05E+03,2.15E+03,,,,,,
1999,2.58E+04,2.37E+04,2.80E+04,6.38E+02,1.09E+03,,,,,,
2000,2.51E+04,2.31E+04,2.72E+04,6.88E+02,1.05E+03,,,,,,
2001,1.93E+04,1.76E+04,2.12E+04,6.33E+02,8.99E+02,,,,,,
2002,2.03E+04,1.83E+04,2.24E+04,7.61E+02,1.03E+03,,,,,,
2003,5.90E+04,5.22E+04,6.65E+04,2.40E+03,3.66E+03,,,,,,
2004,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,
