CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,7.47E+05,5.97E+05,9.24E+05,7.31E+04,8.35E+04,,,,,,
1986,4.52E+05,3.75E+05,5.39E+05,3.73E+04,4.20E+04,,,,,,
1987,6.14E+05,5.21E+05,7.18E+05,4.00E+04,5.05E+04,,,,,,
1988,3.26E+05,2.83E+05,3.73E+05,1.86E+04,2.29E+04,,,,,,
1989,5.19E+05,4.59E+05,5.84E+05,2.27E+04,3.20E+04,,,,,,
1990,4.26E+05,3.80E+05,4.76E+05,1.63E+04,2.44E+04,,,,,,
1991,3.31E+05,2.95E+05,3.70E+05,1.20E+04,1.91E+04,,,,,,
1992,3.09E+05,2.76E+05,3.45E+05,1.12E+04,1.77E+04,,,,,,
1993,3.12E+05,2.77E+05,3.51E+05,1.16E+04,1.89E+04,,,,,,
1994,2.81E+05,2.49E+05,3.15E+05,1.06E+04,1.68E+04,,,,,,
1995,2.43E+05,2.16E+05,2.73E+05,9.43E+03,1.46E+04,,,,,,
1996,3.14E+05,2.78E+05,3.52E+05,1.22E+04,1.90E+04,,,,,,
1997,2.00E+05,1.78E+05,2.23E+05,7.99E+03,1.15E+04,,,,,,
1998,2.54E+05,2.24E+05,2.87E+05,9.96E+03,1.60E+04,,,,,,
1999,1.55E+05,1.38E+05,1.74E+05,6.01E+03,9.04E+03,,,,,,
2000,1.59E+05,1.42E+05,1.77E+05,6.49E+03,9.15E+03,,,,,,
2001,1.23E+05,1.08E+05,1.40E+05,5.83E+03,7.98E+03,,,,,,
2002,1.22E+05,1.06E+05,1.40E+05,6.58E+03,8.55E+03,,,,,,
2003,3.17E+05,2.70E+05,3.70E+05,2.16E+04,2.56E+04,,,,,,
2004,2.28E+05,1.90E+05,2.72E+05,1.85E+04,2.07E+04,,,,,,
