CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.63E+06,1.15E+06,2.25E+06,2.18E+05,2.83E+05,,,,,,
1986,9.18E+05,6.70E+05,1.23E+06,1.05E+05,1.42E+05,,,,,,
1987,1.44E+06,1.09E+06,1.86E+06,1.28E+05,1.99E+05,,,,,,
1988,8.05E+05,6.05E+05,1.05E+06,6.12E+04,1.14E+05,,,,,,
1989,1.28E+06,1.02E+06,1.58E+06,7.85E+04,1.44E+05,,,,,,
1990,1.36E+06,1.12E+06,1.64E+06,7.31E+04,1.34E+05,,,,,,
1991,8.47E+05,6.69E+05,1.06E+06,4.73E+04,9.97E+04,,,,,,
1992,1.18E+06,9.58E+05,1.44E+06,6.07E+04,1.24E+05,,,,,,
1993,1.66E+06,1.33E+06,2.04E+06,9.98E+04,1.80E+05,,,,,,
1994,1.41E+06,1.12E+06,1.74E+06,8.42E+04,1.59E+05,,,,,,
1995,8.85E+05,7.12E+05,1.09E+06,4.74E+04,9.60E+04,,,,,,
1996,2.03E+06,1.70E+06,2.40E+06,1.14E+05,1.79E+05,,,,,,
1997,8.53E+05,6.91E+05,1.04E+06,4.90E+04,8.96E+04,,,,,,
1998,1.56E+06,1.23E+06,1.95E+06,1.04E+05,1.84E+05,,,,,,
1999,4.51E+05,3.45E+05,5.80E+05,2.46E+04,6.01E+04,,,,,,
2000,4.66E+05,3.75E+05,5.72E+05,2.74E+04,5.04E+04,,,,,,
2001,5.75E+05,4.36E+05,7.44E+05,3.74E+04,7.89E+04,,,,,,
2002,4.30E+05,3.17E+05,5.71E+05,3.44E+04,6.49E+04,,,,,,
2003,2.85E+06,2.26E+06,3.54E+06,2.62E+05,3.27E+05,,,,,,
2004,1.54E+06,1.18E+06,1.99E+06,1.68E+05,2.07E+05,,,,,,
