CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,2.90E+04,1.55E+04,4.96E+04,5.42E+03,8.79E+03,,,,,,
1986,1.34E+04,9.88E+03,1.79E+04,1.69E+03,2.05E+03,,,,,,
1987,2.91E+04,2.11E+04,3.91E+04,3.41E+03,4.61E+03,,,,,,
1988,1.71E+04,1.27E+04,2.24E+04,1.72E+03,2.48E+03,,,,,,
1989,2.39E+04,1.85E+04,3.03E+04,2.48E+03,3.03E+03,,,,,,
1990,3.06E+04,2.31E+04,3.97E+04,3.29E+03,4.23E+03,,,,,,
1991,2.80E+04,2.07E+04,3.70E+04,2.99E+03,4.16E+03,,,,,,
1992,3.08E+04,2.32E+04,4.01E+04,3.28E+03,4.31E+03,,,,,,
1993,5.47E+04,4.02E+04,7.28E+04,6.29E+03,8.35E+03,,,,,,
1994,6.19E+04,4.60E+04,8.16E+04,6.93E+03,9.09E+03,,,,,,
1995,4.11E+04,3.13E+04,5.31E+04,4.20E+03,5.59E+03,,,,,,
1996,1.49E+05,9.29E+04,2.27E+05,1.90E+04,3.45E+04,,,,,,
1997,5.04E+04,3.93E+04,6.36E+04,4.52E+03,6.22E+03,,,,,,
1998,1.02E+05,7.84E+04,1.32E+05,9.89E+03,1.36E+04,,,,,,
1999,4.51E+04,3.60E+04,5.59E+04,3.73E+03,5.09E+03,,,,,,
2000,5.13E+04,4.15E+04,6.27E+04,4.20E+03,5.41E+03,,,,,,
2001,8.26E+04,6.30E+04,1.06E+05,8.09E+03,1.11E+04,,,,,,
2002,1.05E+05,7.52E+04,1.42E+05,1.43E+04,1.70E+04,,,,,,
2003,3.65E+05,2.46E+05,5.23E+05,6.47E+04,7.10E+04,,,,,,
2004,2.66E+05,1.67E+05,4.04E+05,5.71E+04,6.09E+04,,,,,,
