CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.12E+04,6.54E+04,9.97E+04,7.23E+03,8.76E+03,,,,,,
1986,7.80E+04,6.58E+04,9.18E+04,5.47E+03,6.65E+03,,,,,,
1987,9.87E+04,8.29E+04,1.17E+05,7.30E+03,8.61E+03,,,,,,
1988,8.50E+04,7.46E+04,9.64E+04,4.53E+03,5.58E+03,,,,,,
1989,1.36E+05,1.09E+05,1.67E+05,1.25E+04,1.50E+04,,,,,,
1990,1.13E+05,9.81E+04,1.29E+05,6.68E+03,7.91E+03,,,,,,
1991,7.44E+04,6.50E+04,8.47E+04,3.74E+03,5.03E+03,,,,,,
1992,8.73E+04,7.70E+04,9.87E+04,4.43E+03,5.54E+03,,,,,,
1993,1.27E+05,1.00E+05,1.58E+05,1.23E+04,1.47E+04,,,,,,
1994,1.13E+05,9.89E+04,1.30E+05,6.64E+03,7.82E+03,,,,,,
1995,7.55E+04,6.54E+04,8.69E+04,4.38E+03,5.49E+03,,,,,,
1996,1.58E+05,1.30E+05,1.91E+05,1.39E+04,1.56E+04,,,,,,
1997,8.32E+04,7.34E+04,9.39E+04,4.18E+03,5.23E+03,,,,,,
1998,1.04E+05,8.66E+04,1.24E+05,8.22E+03,9.55E+03,,,,,,
1999,7.58E+04,6.26E+04,9.09E+04,5.64E+03,7.25E+03,,,,,,
2000,7.84E+04,6.93E+04,8.85E+04,3.89E+03,4.90E+03,,,,,,
2001,6.72E+04,5.79E+04,7.75E+04,3.99E+03,5.01E+03,,,,,,
2002,5.39E+04,4.66E+04,6.19E+04,3.12E+03,3.91E+03,,,,,,
2003,1.91E+05,1.50E+05,2.39E+05,2.12E+04,2.29E+04,,,,,,
2004,9.65E+04,7.96E+04,1.16E+05,8.14E+03,9.30E+03,,,,,,
