CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,7.45E+05,3.33E+05,1.45E+06,1.05E+05,2.89E+05,,,,,,
1986,7.31E+04,5.33E+04,9.78E+04,6.87E+03,1.14E+04,,,,,,
1987,4.19E+05,2.52E+05,6.56E+05,3.77E+04,1.04E+05,,,,,,
1988,1.07E+05,7.64E+04,1.47E+05,6.94E+03,1.81E+04,,,,,,
1989,4.51E+05,2.33E+05,7.92E+05,3.72E+04,1.44E+05,,,,,,
1990,2.67E+05,1.88E+05,3.69E+05,1.41E+04,4.63E+04,,,,,,
1991,1.21E+05,7.74E+04,1.81E+05,6.10E+03,2.67E+04,,,,,,
1992,3.43E+05,2.17E+05,5.17E+05,2.13E+04,7.69E+04,,,,,,
1993,6.51E+05,3.69E+05,1.07E+06,5.65E+04,1.79E+05,,,,,,
1994,3.66E+05,2.63E+05,4.95E+05,2.16E+04,5.94E+04,,,,,,
1995,6.48E+05,2.86E+05,1.27E+06,7.00E+04,2.56E+05,,,,,,
1996,1.21E+06,6.50E+05,2.06E+06,1.23E+05,3.64E+05,,,,,,
1997,1.53E+05,8.87E+04,2.48E+05,8.17E+03,4.09E+04,,,,,,
1998,6.53E+05,4.28E+05,9.57E+05,5.55E+04,1.36E+05,,,,,,
1999,1.30E+05,6.05E+04,2.47E+05,8.94E+03,4.83E+04,,,,,,
2000,5.33E+04,4.40E+04,6.40E+04,2.47E+03,5.12E+03,,,,,,
2001,9.76E+04,6.60E+04,1.39E+05,5.49E+03,1.88E+04,,,,,,
2002,6.02E+04,4.32E+04,8.17E+04,4.13E+03,9.87E+03,,,,,,
2003,9.43E+05,6.65E+05,1.30E+06,8.62E+04,1.63E+05,,,,,,
2004,3.32E+05,1.88E+05,5.44E+05,3.40E+04,9.15E+04,,,,,,
