CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.29E+06,1.22E+06,1.37E+06,3.66E+04,3.90E+04,,,,,,
1986,1.27E+06,1.20E+06,1.33E+06,2.98E+04,3.22E+04,,,,,,
1987,1.17E+06,1.12E+06,1.22E+06,2.21E+04,2.47E+04,,,,,,
1988,1.04E+06,9.95E+05,1.08E+06,1.77E+04,2.10E+04,,,,,,
1989,1.23E+06,1.19E+06,1.28E+06,1.95E+04,2.34E+04,,,,,,
1990,1.33E+06,1.28E+06,1.37E+06,1.85E+04,2.21E+04,,,,,,
1991,1.35E+06,1.30E+06,1.40E+06,1.97E+04,2.36E+04,,,,,,
1992,1.56E+06,1.50E+06,1.62E+06,2.48E+04,2.94E+04,,,,,,
1993,2.28E+06,2.16E+06,2.41E+06,5.77E+04,6.24E+04,,,,,,
1994,2.15E+06,2.05E+06,2.26E+06,4.83E+04,5.30E+04,,,,,,
1995,1.06E+06,1.02E+06,1.10E+06,1.69E+04,1.94E+04,,,,,,
1996,3.47E+06,3.26E+06,3.69E+06,1.06E+05,1.11E+05,,,,,,
1997,1.39E+06,1.34E+06,1.44E+06,2.12E+04,2.50E+04,,,,,,
1998,2.30E+06,2.17E+06,2.45E+06,6.67E+04,7.11E+04,,,,,,
1999,8.21E+05,7.93E+05,8.50E+05,1.23E+04,1.44E+04,,,,,,
2000,1.15E+06,1.11E+06,1.19E+06,1.72E+04,2.01E+04,,,,,,
2001,7.64E+05,7.35E+05,7.93E+05,1.30E+04,1.49E+04,,,,,,
2002,4.75E+05,4.54E+05,4.96E+05,9.34E+03,1.06E+04,,,,,,
2003,2.41E+06,2.27E+06,2.55E+06,6.71E+04,7.05E+04,,,,,,
2004,1.70E+06,1.61E+06,1.80E+06,4.75E+04,5.00E+04,,,,,,
