CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,8.78E+05,7.80E+05,9.85E+05,4.45E+04,5.23E+04,,,,,,
1986,4.42E+05,4.02E+05,4.84E+05,1.86E+04,2.10E+04,,,,,,
1987,8.89E+05,8.14E+05,9.68E+05,3.13E+04,3.92E+04,,,,,,
1988,3.95E+05,3.69E+05,4.23E+05,1.10E+04,1.37E+04,,,,,,
1989,8.09E+05,7.62E+05,8.58E+05,1.78E+04,2.46E+04,,,,,,
1990,6.09E+05,5.75E+05,6.44E+05,1.11E+04,1.77E+04,,,,,,
1991,4.27E+05,4.02E+05,4.54E+05,6.66E+03,1.33E+04,,,,,,
1992,4.18E+05,3.96E+05,4.40E+05,6.03E+03,1.14E+04,,,,,,
1993,1.03E+06,9.69E+05,1.09E+06,1.77E+04,3.05E+04,,,,,,
1994,7.78E+05,7.32E+05,8.27E+05,1.29E+04,2.42E+04,,,,,,
1995,5.59E+05,5.32E+05,5.88E+05,9.00E+03,1.43E+04,,,,,,
1996,1.03E+06,9.76E+05,1.10E+06,1.93E+04,3.06E+04,,,,,,
1997,5.05E+05,4.79E+05,5.32E+05,7.83E+03,1.34E+04,,,,,,
1998,1.01E+06,9.48E+05,1.08E+06,2.01E+04,3.38E+04,,,,,,
1999,4.20E+05,3.92E+05,4.49E+05,6.78E+03,1.45E+04,,,,,,
2000,4.46E+05,4.21E+05,4.71E+05,7.11E+03,1.27E+04,,,,,,
2001,3.67E+05,3.41E+05,3.95E+05,6.80E+03,1.38E+04,,,,,,
2002,3.20E+05,2.97E+05,3.45E+05,7.82E+03,1.21E+04,,,,,,
2003,1.95E+06,1.80E+06,2.10E+06,6.20E+04,7.71E+04,,,,,,
2004,1.07E+06,9.79E+05,1.16E+06,3.89E+04,4.69E+04,,,,,,
