CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,6.50E+09,1.84E+09,1.68E+10,1.66E+09,3.98E+09,,,,,,
1986,8.11E+08,4.04E+08,1.46E+09,1.28E+08,2.73E+08,,,,,,
1987,1.72E+09,8.60E+08,3.09E+09,2.61E+08,5.76E+08,,,,,,
1988,1.70E+09,8.78E+08,2.97E+09,2.48E+08,5.41E+08,,,,,,
1989,1.31E+09,8.51E+08,1.92E+09,1.45E+08,2.75E+08,,,,,,
1990,6.14E+08,3.96E+08,9.10E+08,5.95E+07,1.32E+08,,,,,,
1991,5.72E+08,3.65E+08,8.54E+08,6.12E+07,1.25E+08,,,,,,
1992,5.08E+08,3.16E+08,7.77E+08,4.78E+07,1.18E+08,,,,,,
1993,2.76E+09,1.75E+09,4.16E+09,3.93E+08,6.17E+08,,,,,,
1994,1.87E+09,1.23E+09,2.73E+09,2.46E+08,3.85E+08,,,,,,
1995,3.63E+08,2.51E+08,5.10E+08,3.46E+07,6.64E+07,,,,,,
1996,8.62E+09,3.79E+09,1.69E+10,1.74E+09,3.42E+09,,,,,,
1997,4.19E+08,2.40E+08,6.80E+08,4.30E+07,1.13E+08,,,,,,
1998,1.68E+09,1.14E+09,2.40E+09,2.10E+08,3.22E+08,,,,,,
1999,1.10E+08,8.30E+07,1.44E+08,8.59E+06,1.55E+07,,,,,,
2000,1.56E+08,1.17E+08,2.05E+08,1.16E+07,2.25E+07,,,,,,
2001,1.63E+08,1.18E+08,2.20E+08,1.28E+07,2.60E+07,,,,,,
2002,1.54E+08,1.14E+08,2.04E+08,1.23E+07,2.31E+07,,,,,,
2003,2.93E+09,1.95E+09,4.25E+09,3.73E+08,5.90E+08,,,,,,
2004,8.66E+08,5.33E+08,1.33E+09,1.09E+08,2.05E+08,,,,,,
