CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,4.04E+08,2.19E+08,6.85E+08,5.83E+07,1.20E+08,,,,,,
1986,3.11E+08,1.59E+08,5.51E+08,3.94E+07,1.01E+08,,,,,,
1987,2.28E+08,1.01E+08,4.44E+08,2.53E+07,8.90E+07,,,,,,
1988,1.70E+08,7.25E+07,3.41E+08,1.68E+07,6.97E+07,,,,,,
1989,4.36E+08,2.34E+08,7.45E+08,5.02E+07,1.32E+08,,,,,,
1990,1.77E+08,1.09E+08,2.71E+08,1.69E+07,4.16E+07,,,,,,
1991,8.12E+07,5.09E+07,1.23E+08,7.66E+06,1.86E+07,,,,,,
1992,4.92E+07,3.02E+07,7.58E+07,4.83E+06,1.17E+07,,,,,,
1993,2.97E+08,1.63E+08,5.00E+08,3.60E+07,8.68E+07,,,,,,
1994,2.15E+08,1.10E+08,3.79E+08,2.60E+07,6.93E+07,,,,,,
1995,7.22E+07,3.90E+07,1.23E+08,7.27E+06,2.15E+07,,,,,,
1996,4.12E+08,2.28E+08,6.89E+08,5.19E+07,1.19E+08,,,,,,
1997,1.21E+08,5.43E+07,2.36E+08,1.24E+07,4.71E+07,,,,,,
1998,1.77E+08,1.09E+08,2.73E+08,1.73E+07,4.22E+07,,,,,,
1999,5.96E+07,3.53E+07,9.43E+07,5.21E+06,1.52E+07,,,,,,
2000,6.97E+07,4.17E+07,1.10E+08,6.30E+06,1.75E+07,,,,,,
2001,5.22E+07,2.96E+07,8.57E+07,4.76E+06,1.44E+07,,,,,,
2002,9.24E+07,5.34E+07,1.49E+08,8.40E+06,2.47E+07,,,,,,
2003,4.95E+08,3.11E+08,7.50E+08,5.53E+07,1.12E+08,,,,,,
2004,6.94E+08,2.38E+08,1.60E+09,1.19E+08,3.58E+08,,,,,,
