CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.78E+05,1.49E+05,2.12E+05,1.45E+04,1.59E+04,,,,,,
1986,8.50E+04,7.65E+04,9.41E+04,3.89E+03,4.51E+03,,,,,,
1987,2.19E+05,1.90E+05,2.51E+05,1.42E+04,1.57E+04,,,,,,
1988,1.00E+05,9.13E+04,1.10E+05,3.72E+03,4.76E+03,,,,,,
1989,2.10E+05,1.87E+05,2.35E+05,1.06E+04,1.22E+04,,,,,,
1990,2.04E+05,1.79E+05,2.32E+05,1.18E+04,1.34E+04,,,,,,
1991,9.07E+04,8.12E+04,1.01E+05,3.74E+03,5.06E+03,,,,,,
1992,9.41E+04,8.67E+04,1.02E+05,2.93E+03,3.90E+03,,,,,,
1993,2.87E+05,2.43E+05,3.37E+05,2.21E+04,2.39E+04,,,,,,
1994,2.83E+05,2.35E+05,3.37E+05,2.39E+04,2.59E+04,,,,,,
1995,1.71E+05,1.51E+05,1.92E+05,8.69E+03,1.04E+04,,,,,,
1996,3.75E+05,3.26E+05,4.30E+05,2.47E+04,2.65E+04,,,,,,
1997,1.87E+05,1.71E+05,2.04E+05,7.34E+03,8.59E+03,,,,,,
1998,3.47E+05,2.85E+05,4.18E+05,3.19E+04,3.38E+04,,,,,,
1999,6.64E+04,6.00E+04,7.32E+04,2.25E+03,3.37E+03,,,,,,
2000,8.91E+04,8.18E+04,9.68E+04,2.96E+03,3.81E+03,,,,,,
2001,7.80E+04,6.94E+04,8.75E+04,3.49E+03,4.63E+03,,,,,,
2002,2.78E+04,2.51E+04,3.06E+04,1.22E+03,1.41E+03,,,,,,
2003,4.39E+05,3.68E+05,5.20E+05,3.70E+04,3.86E+04,,,,,,
2004,1.89E+05,1.65E+05,2.14E+05,1.18E+04,1.25E+04,,,,,,
