CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,3.13E+08,2.08E+08,4.55E+08,3.34E+07,6.33E+07,,,,,,
1986,5.23E+08,3.08E+08,8.31E+08,5.07E+07,1.34E+08,,,,,,
1987,2.11E+08,1.44E+08,2.98E+08,1.48E+07,3.94E+07,,,,,,
1988,2.39E+08,1.29E+08,4.08E+08,1.63E+07,7.19E+07,,,,,,
1989,4.95E+08,3.17E+08,7.37E+08,3.49E+07,1.08E+08,,,,,,
1990,5.07E+08,3.45E+08,7.19E+08,3.33E+07,9.58E+07,,,,,,
1991,2.33E+08,1.32E+08,3.83E+08,1.45E+07,6.44E+07,,,,,,
1992,2.04E+08,1.60E+08,2.57E+08,1.12E+07,2.49E+07,,,,,,
1993,1.55E+09,8.72E+08,2.55E+09,1.54E+08,4.31E+08,,,,,,
1994,1.06E+09,6.71E+08,1.59E+09,8.48E+07,2.35E+08,,,,,,
1995,1.79E+08,1.01E+08,2.93E+08,1.12E+07,4.94E+07,,,,,,
1996,1.59E+09,6.95E+08,3.15E+09,1.72E+08,6.37E+08,,,,,,
1997,1.82E+08,1.29E+08,2.51E+08,1.08E+07,3.14E+07,,,,,,
1998,5.06E+08,2.76E+08,8.54E+08,3.55E+07,1.49E+08,,,,,,
1999,1.99E+08,1.13E+08,3.25E+08,1.20E+07,5.47E+07,,,,,,
2000,1.96E+08,1.37E+08,2.71E+08,1.13E+07,3.43E+07,,,,,,
2001,1.09E+08,8.08E+07,1.44E+08,6.59E+06,1.62E+07,,,,,,
2002,3.10E+08,1.80E+08,4.99E+08,2.11E+07,8.20E+07,,,,,,
2003,7.42E+08,5.03E+08,1.06E+09,5.71E+07,1.42E+08,,,,,,
2004,1.55E+09,5.67E+08,3.42E+09,2.10E+08,7.48E+08,,,,,,
