CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1989,1.45E+07,1.20E+07,1.72E+07,9.78E+05,1.31E+06,,,,,,
1990,1.14E+07,9.64E+06,1.34E+07,6.11E+05,9.64E+05,,,,,,
1991,8.09E+06,6.64E+06,9.76E+06,3.42E+05,7.98E+05,,,,,,
1992,7.40E+06,6.20E+06,8.76E+06,2.48E+05,6.55E+05,,,,,,
1993,3.12E+07,2.68E+07,3.62E+07,1.29E+06,2.40E+06,,,,,,
1994,2.18E+07,1.82E+07,2.58E+07,9.34E+05,1.94E+06,,,,,,
1995,1.09E+07,9.53E+06,1.25E+07,4.21E+05,7.45E+05,,,,,,
1996,3.05E+07,2.59E+07,3.56E+07,1.49E+06,2.48E+06,,,,,,
1997,1.06E+07,9.12E+06,1.22E+07,3.99E+05,7.78E+05,,,,,,
1998,3.42E+07,2.87E+07,4.05E+07,1.76E+06,3.01E+06,,,,,,
1999,8.86E+06,6.99E+06,1.11E+07,3.95E+05,1.04E+06,,,,,,
2000,8.12E+06,6.83E+06,9.59E+06,3.00E+05,7.06E+05,,,,,,
2001,7.62E+06,6.03E+06,9.51E+06,3.47E+05,8.91E+05,,,,,,
2002,5.75E+06,4.66E+06,7.02E+06,3.38E+05,6.03E+05,,,,,,
2003,5.31E+07,4.35E+07,6.42E+07,4.01E+06,5.28E+06,,,,,,
2004,2.07E+07,1.64E+07,2.58E+07,1.76E+06,2.42E+06,,,,,,
