CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,1.01E+03,7.79E+02,1.28E+03,1.13E+02,1.29E+02,,,,,,
1986,1.11E+03,8.89E+02,1.36E+03,1.01E+02,1.20E+02,,,,,,
1987,2.25E+03,1.82E+03,2.75E+03,1.99E+02,2.37E+02,,,,,,
1988,2.77E+03,2.22E+03,3.41E+03,2.45E+02,3.04E+02,,,,,,
1989,4.71E+03,3.51E+03,6.18E+03,5.79E+02,6.84E+02,,,,,,
1990,3.08E+03,2.53E+03,3.72E+03,2.39E+02,3.03E+02,,,,,,
1991,1.93E+03,1.60E+03,2.30E+03,1.32E+02,1.79E+02,,,,,,
1992,9.25E+02,7.99E+02,1.06E+03,5.35E+01,6.78E+01,,,,,,
1993,3.65E+03,2.71E+03,4.79E+03,4.68E+02,5.32E+02,,,,,,
1994,3.03E+03,2.43E+03,3.73E+03,2.76E+02,3.32E+02,,,,,,
1995,9.64E+02,8.29E+02,1.12E+03,5.91E+01,7.30E+01,,,,,,
1996,7.62E+03,5.97E+03,9.58E+03,8.41E+02,9.23E+02,,,,,,
1997,2.46E+03,2.06E+03,2.91E+03,1.75E+02,2.16E+02,,,,,,
1998,2.62E+03,2.04E+03,3.30E+03,2.54E+02,3.22E+02,,,,,,
1999,6.87E+02,5.94E+02,7.90E+02,4.27E+01,5.01E+01,,,,,,
2000,1.35E+03,1.15E+03,1.58E+03,8.44E+01,1.08E+02,,,,,,
2001,1.88E+03,1.56E+03,2.25E+03,1.29E+02,1.76E+02,,,,,,
2002,6.32E+02,5.27E+02,7.51E+02,5.24E+01,5.71E+01,,,,,,
2003,7.52E+03,5.38E+03,1.02E+04,1.17E+03,1.24E+03,,,,,,
2004,2.63E+03,2.04E+03,3.33E+03,2.95E+02,3.29E+02,,,,,,
