CYEAR,LOAD,LOWER 95% CI,UPPER 95% CI,SE,SEP,,,,,,
1985,7.25E+05,5.70E+05,9.10E+05,5.87E+04,8.71E+04,,,,,,
1986,9.22E+05,7.23E+05,1.16E+06,6.30E+04,1.11E+05,,,,,,
1987,5.69E+05,4.72E+05,6.81E+05,3.02E+04,5.32E+04,,,,,,
1988,4.86E+05,3.82E+05,6.09E+05,2.22E+04,5.80E+04,,,,,,
1989,7.34E+05,5.86E+05,9.09E+05,3.40E+04,8.24E+04,,,,,,
1990,8.91E+05,7.37E+05,1.07E+06,4.11E+04,8.48E+04,,,,,,
1991,4.35E+05,3.44E+05,5.43E+05,1.87E+04,5.10E+04,,,,,,
1992,5.23E+05,4.47E+05,6.08E+05,2.36E+04,4.10E+04,,,,,,
1993,1.16E+06,8.65E+05,1.54E+06,7.32E+04,1.71E+05,,,,,,
1994,1.00E+06,7.86E+05,1.26E+06,5.28E+04,1.20E+05,,,,,,
1995,3.62E+05,2.92E+05,4.44E+05,1.66E+04,3.90E+04,,,,,,
1996,1.20E+06,8.79E+05,1.60E+06,7.39E+04,1.84E+05,,,,,,
1997,3.70E+05,3.08E+05,4.40E+05,1.68E+04,3.36E+04,,,,,,
1998,5.38E+05,4.15E+05,6.87E+05,2.54E+04,6.97E+04,,,,,,
1999,3.29E+05,2.64E+05,4.04E+05,1.44E+04,3.58E+04,,,,,,
2000,3.36E+05,2.79E+05,4.01E+05,1.47E+04,3.10E+04,,,,,,
2001,2.44E+05,2.05E+05,2.88E+05,1.15E+04,2.12E+04,,,,,,
2002,3.90E+05,3.13E+05,4.80E+05,1.90E+04,4.27E+04,,,,,,
2003,7.52E+05,6.12E+05,9.15E+05,4.44E+04,7.74E+04,,,,,,
2004,9.17E+05,6.39E+05,1.28E+06,7.46E+04,1.63E+05,,,,,,
