TABLE->,SLD-PARM1,SLD-PARM1,SLD-PARM1,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-PARM2,SLD-STOR
VARS->,VASD,VRSD,SDOP,KEIM,JEIM,ACCSDP,REMSDP,SLDS
A51005,0,0,0,0.644995,2,0.1,0.07675,1
A51007,0,0,0,0.405754,2,0.1,0.07675,1
A51009,0,0,0,0.607547,2,0.1,0.07675,1
A51011,0,0,0,0.510178,2,0.1,0.07675,1
A51013,0,0,0,0.741851,2,0.1,0.07675,1
A51015,0,0,0,0.534403,2,0.1,0.07675,1
A51017,0,0,0,0.652464,2,0.1,0.07675,1
A51019,0,0,0,0.673459,2,0.1,0.07675,1
A51021,0,0,0,2.5,2,0.1,0.07675,1
A51023,0,0,0,0.787047,2,0.1,0.07675,1
A51025,0,0,0,2.5,2,0.1,0.07675,1
A51027,0,0,0,2.5,2,0.1,0.07675,1
A51029,0,0,0,0.599414,2,0.1,0.07675,1
A51031,0,0,0,0.659499,2,0.1,0.07675,1
A51033,0,0,0,0.719035,2,0.1,0.07675,1
A51035,0,0,0,2.5,2,0.1,0.07675,1
A51036,0,0,0,0.743200,2,0.1,0.07675,1
A51037,0,0,0,2.5,2,0.1,0.07675,1
A51041,0,0,0,0.665362,2,0.1,0.07675,1
A51043,0,0,0,0.542964,2,0.1,0.07675,1
A51045,0,0,0,0.870198,2,0.1,0.07675,1
A51047,0,0,0,0.490308,2,0.1,0.07675,1
A51049,0,0,0,0.536654,2,0.1,0.07675,1
A51051,0,0,0,2.5,2,0.1,0.07675,1
A51053,0,0,0,0.477764,2,0.1,0.07675,1
A51057,0,0,0,0.709370,2,0.1,0.07675,1
A51059,0,0,0,0.789956,2,0.1,0.07675,1
A51061,0,0,0,0.570536,2,0.1,0.07675,1
A51063,0,0,0,2.5,2,0.1,0.07675,1
A51065,0,0,0,0.566926,2,0.1,0.07675,1
A51067,0,0,0,2.5,2,0.1,0.07675,1
A51069,0,0,0,0.606933,2,0.1,0.07675,1
A51071,0,0,0,0.539072,2,0.1,0.07675,1
A51073,0,0,0,0.519795,2,0.1,0.07675,1
A51075,0,0,0,0.601045,2,0.1,0.07675,1
A51077,0,0,0,2.5,2,0.1,0.07675,1
A51079,0,0,0,0.363627,2,0.1,0.07675,1
A51081,0,0,0,2.5,2,0.1,0.07675,1
A51083,0,0,0,2.5,2,0.1,0.07675,1
A51085,0,0,0,0.769987,2,0.1,0.07675,1
A51087,0,0,0,0.767032,2,0.1,0.07675,1
A51089,0,0,0,2.5,2,0.1,0.07675,1
A51091,0,0,0,0.597682,2,0.1,0.07675,1
A51093,0,0,0,0.696610,2,0.1,0.07675,1
A51095,0,0,0,0.537978,2,0.1,0.07675,1
A51097,0,0,0,0.756962,2,0.1,0.07675,1
A51099,0,0,0,0.581455,2,0.1,0.07675,1
A51101,0,0,0,0.805579,2,0.1,0.07675,1
A51103,0,0,0,0.573895,2,0.1,0.07675,1
A51105,0,0,0,2.5,2,0.1,0.07675,1
A51107,0,0,0,0.689528,2,0.1,0.07675,1
A51109,0,0,0,0.497698,2,0.1,0.07675,1
A51111,0,0,0,2.5,2,0.1,0.07675,1
