Year,Month,(kg/mo),+/- (kg/mo),+/- Pct
1989,7,"6,214,862","4,909,539",79
1989,8,"1,190,735","910,472",76
1989,9,"2,160,735","1,526,457",71
1989,10,"2,544,714","1,937,948",76
1989,11,"3,060,358","1,810,611",59
1989,12,"1,092,980","523,852",48
1990,1,"6,964,564","3,772,338",54
1990,2,"3,545,756","1,938,158",55
1990,3,"2,283,268","1,372,555",60
1990,4,"4,741,716","2,487,598",52
1990,5,"7,598,804","5,754,956",76
1990,6,"4,783,710","4,500,049",94
1990,7,"112,116","63,528",57
1990,8,"236,585","171,002",72
1990,9,"22,448","14,142",63
1990,10,"1,508,479","1,709,943",113
1990,11,"1,220,865","1,249,149",102
1990,12,"1,987,812","1,419,885",71
1991,1,"6,493,825","3,888,148",60
1991,2,"485,422","218,519",45
1991,3,"2,163,012","1,485,417",69
1991,4,"1,637,724","1,294,968",79
1991,5,"119,842","66,426",55
1991,6,"43,696","38,857",89
1991,7,"2,722,643","2,266,153",83
1991,8,"166,463","144,249",87
1991,9,"9,124","6,417",70
1991,10,"10,312","9,076",88
1991,11,"13,363","8,055",60
1991,12,"833,443","682,839",82
1992,1,"582,391","348,958",60
1992,2,"1,242,783","1,257,564",101
1992,3,"2,882,218","1,447,985",50
1992,4,"1,197,724","872,525",73
1992,5,"933,581","573,510",61
1992,6,"1,368,572","1,027,120",75
1992,7,"479,197","379,950",79
1992,8,"134,129","90,769",68
1992,9,"758,118","1,135,762",150
1992,10,"85,889","72,731",85
1992,11,"558,619","338,406",61
1992,12,"7,270,355","5,107,821",70
1993,1,"7,386,292","4,063,806",55
1993,2,"2,735,753","1,511,884",55
1993,3,"17,021,477","8,006,706",47
1993,4,"12,219,232","6,135,727",50
1993,5,"5,162,545","3,260,313",63
1993,6,"859,951","536,071",62
1993,7,"34,728","19,077",55
1993,8,"49,790","60,870",122
1993,9,"5,456","3,536",65
1993,10,"13,479","7,862",58
1993,11,"3,443,557","4,577,796",133
1993,12,"12,044,243","8,363,344",69
1994,1,"4,623,813","1,219,606",26
1994,2,"11,265,555","3,211,447",29
1994,3,"17,758,624","5,324,589",30
1994,4,"8,000,002","3,036,618",38
1994,5,"2,240,169","682,652",30
1994,6,"255,433","58,201",23
1994,7,"2,259,230","1,154,379",51
1994,8,"5,538,487","2,495,149",45
1994,9,"1,405,200","680,827",48
1994,10,"227,175","64,172",28
1994,11,"352,790","121,842",35
1994,12,"422,301","101,442",24
1995,1,"2,851,286","992,661",35
