YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1989,7,"945,521","439,439",46
1989,8,"158,378","49,182",31
1989,9,"739,693","317,830",43
1989,10,"700,098","252,564",36
1989,11,"628,718","179,232",29
1989,12,"449,554","127,307",28
1990,1,"3,580,777","1,134,590",32
1990,2,"1,560,666","480,053",31
1990,3,"765,190","215,599",28
1990,4,"2,436,335","802,210",33
1990,5,"1,285,026","604,539",47
1990,6,"1,169,806","673,310",58
1990,7,"53,579","15,453",29
1990,8,"120,320","46,210",38
1990,9,"20,233","6,204",31
1990,10,"205,997","105,455",51
1990,11,"113,330","38,431",34
1990,12,"342,487","110,880",32
1991,1,"2,614,882","952,687",36
1991,2,"465,929","151,138",32
1991,3,"1,798,035","772,783",43
1991,4,"1,882,012","891,495",47
1991,5,"165,263","46,968",28
1991,6,"61,920","24,919",40
1991,7,"428,975","282,481",66
1991,8,"307,792","171,799",56
1991,9,"20,260","6,080",30
1991,10,"31,050","8,859",29
1991,11,"76,498","21,182",28
1991,12,"330,416","121,554",37
1992,1,"822,339","316,477",38
1992,2,"722,410","351,238",49
1992,3,"2,415,608","1,025,623",42
1992,4,"455,770","158,490",35
1992,5,"278,321","80,567",29
1992,6,"379,119","128,180",34
1992,7,"70,182","23,334",33
1992,8,"88,067","32,242",37
1992,9,"91,960","44,313",48
1992,10,"157,460","60,074",38
1992,11,"429,124","128,756",30
1992,12,"1,590,809","628,400",40
1993,1,"5,038,576","1,599,465",32
1993,2,"1,572,247","550,470",35
1993,3,"10,917,651","3,219,842",29
1993,4,"4,493,694","1,277,346",28
1993,5,"645,692","187,798",29
1993,6,"782,785","354,650",45
1993,7,"42,583","15,733",37
1993,8,"30,572","12,879",42
1993,9,"9,221","3,497",38
1993,10,"11,688","4,510",39
1993,11,"843,155","627,404",74
1993,12,"7,530,079","2,600,456",35
1994,1,"1,754,722","235,695",13
1994,2,"4,377,837","638,130",15
1994,3,"9,134,533","1,401,067",15
1994,4,"3,563,793","766,231",22
1994,5,"772,636","135,912",18
1994,6,"236,854","48,090",20
1994,7,"133,640","26,196",20
1994,8,"386,817","87,257",23
1994,9,"104,132","21,959",21
1994,10,"93,072","13,297",14
1994,11,"761,825","173,645",23
1994,12,"213,332","26,848",13
1995,1,"1,345,015","184,833",14
1995,2,"564,529","67,233",12
1995,3,"1,704,011","272,465",16
1995,4,"189,352","20,752",11
1995,5,"788,856","103,077",13
1995,6,"1,021,572","144,191",14
1995,7,"1,978,779","289,927",15
1995,8,"25,962","3,437",13
1995,9,"19,708","2,842",14
1995,10,"1,221,816","192,957",16
1995,11,"1,087,034","140,943",13
1995,12,"575,883","67,301",12
1996,1,"5,503,868","893,360",16
1996,2,"3,416,518","469,613",14
1996,3,"1,467,607","191,507",13
1996,4,"1,039,029","127,049",12
1996,5,"800,633","107,883",13
1996,6,"94,255","12,290",13
1996,7,"144,949","22,667",16
1996,8,"308,235","51,282",17
1996,9,"5,818,351","1,103,728",19
1996,10,"2,684,351","525,903",20
1996,11,"1,625,640","252,770",16
1996,12,"7,094,827","985,735",14
1997,1,"1,413,649","167,083",12
1997,2,"2,101,810","292,218",14
1997,3,"2,748,896","360,683",13
1997,4,"942,244","168,479",18
1997,5,"1,376,232","301,759",22
1997,6,"163,704","22,642",14
1997,7,"76,119","10,266",13
1997,8,"19,840","2,731",14
1997,9,"14,706","2,166",15
1997,10,"58,337","8,611",15
1997,11,"540,260","71,925",13
1997,12,"547,938","74,765",14
1998,1,"5,560,914","953,318",17
1998,2,"11,154,227","1,507,736",14
1998,3,"10,471,761","1,726,942",16
1998,4,"3,148,072","427,333",14
1998,5,"1,712,224","277,828",16
1998,6,"210,005","24,709",12
1998,7,"37,201","4,769",13
1998,8,"24,696","3,466",14
1998,9,"13,222","1,848",14
1998,10,"13,765","1,939",14
1998,11,"14,324","2,091",15
1998,12,"184,522","31,480",17
1999,1,"1,597,233","259,140",16
1999,2,"257,636","32,102",12
1999,3,"1,156,870","202,760",18
1999,4,"358,583","44,372",12
1999,5,"387,942","82,457",21
