Year,Month,(kg/mo),+/- (kg/mo),+/- Pct
1988,1,"19,382,222","16,950,310",87
1988,2,"3,925,833","1,978,558",50
1988,3,"3,168,293","2,725,299",86
1988,4,"1,668,232","740,285",44
1988,5,"72,806,140","39,472,232",54
1988,6,"975,260","392,740",40
1988,7,"284,701","147,716",52
1988,8,"16,439","7,263",44
1988,9,"16,150","7,504",46
1988,10,"10,413","6,174",59
1988,11,"341,479","208,118",61
1988,12,"56,559","20,810",37
1989,1,"584,492","387,816",66
1989,2,"868,662","643,960",74
1989,3,"12,929,061","8,254,826",64
1989,4,"1,812,494","695,388",38
1989,5,"376,883,028","343,004,398",91
1989,6,"45,376,758","38,066,193",84
1989,7,"24,215,150","14,148,815",58
1989,8,"3,807,132","2,688,850",71
1989,9,"3,479,988","2,356,074",68
1989,10,"37,261,711","23,858,037",64
1989,11,"3,418,485","1,572,471",46
1989,12,"694,236","192,564",28
1990,1,"17,643,936","10,455,749",59
1990,2,"4,948,760","1,721,353",35
1990,3,"2,801,068","1,052,942",38
1990,4,"12,133,316","5,109,392",42
1990,5,"42,318,546","29,852,624",71
1990,6,"2,022,695","912,813",45
1990,7,"9,108,047","8,526,830",94
1990,8,"750,835","364,963",49
1990,9,"309,497","163,595",53
1990,10,"121,466,124","86,621,232",71
1990,11,"7,335,852","6,289,278",86
1990,12,"9,547,543","6,446,758",68
1991,1,"56,862,325","46,868,484",82
1991,2,"870,431","252,471",29
1991,3,"14,257,564","7,794,127",55
1991,4,"3,647,879","1,162,221",32
1991,5,"988,499","311,753",32
1991,6,"1,203,243","840,785",70
1991,7,"1,372,556","978,539",71
1991,8,"60,275","34,064",57
1991,9,"5,061","2,096",41
1991,10,"3,468","1,549",45
1991,11,"47,045","33,037",70
1991,12,"3,299,982","1,968,716",60
1992,1,"3,496,617","2,754,453",79
1992,2,"4,225,546","3,453,576",82
1992,3,"8,781,077","5,424,527",62
1992,4,"40,304,975","35,145,153",87
1992,5,"3,234,182","1,660,051",51
1992,6,"28,298,964","29,551,403",104
1992,7,"4,515,397","4,879,465",108
1992,8,"614,794","285,595",46
1992,9,"5,443,267","2,943,634",54
1992,10,"1,019,355","614,475",60
1992,11,"49,429,181","39,470,373",80
1992,12,"118,397,884","108,592,112",92
1993,1,"16,490,283","7,650,211",46
1993,2,"4,162,038","1,938,676",47
