YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
2000,2,"16,861,025","6,464,433",38
2000,3,"28,909,030","9,720,026",34
2000,4,"48,724,635","15,434,486",32
2000,5,"5,749,342","1,446,247",25
2000,6,"3,807,967","1,073,286",28
2000,7,"2,318,036","634,154",27
2000,8,"3,138,408","838,237",27
2000,9,"30,519,884","11,576,670",38
2000,10,"770,467","215,395",28
2000,11,"242,212","57,687",24
2000,12,"2,013,834","733,217",36
2001,1,"3,294,859","1,199,327",36
2001,2,"929,267","197,701",21
2001,3,"52,624,069","19,855,430",38
2001,4,"31,145,985","11,864,649",38
2001,5,"47,704,482","17,918,254",38
2001,6,"4,308,027","1,030,822",24
2001,7,"430,290","161,194",37
2001,8,"775,379","238,947",31
2001,9,"102,210","26,793",26
2001,10,"47,570","13,958",29
2001,11,"32,211","9,234",29
2001,12,"194,371","63,309",33
2002,1,"155,807","41,521",27
2002,2,"105,261","27,047",26
2002,3,"2,569,731","764,832",30
2002,4,"17,088,093","7,697,036",45
2002,5,"13,056,879","3,685,193",28
2002,6,"124,095","35,281",28
2002,7,"126,337","42,647",34
2002,8,"75,114","29,449",39
2002,9,"52,753","27,607",52
2002,10,"676,081","343,354",51
2002,11,"25,919,395","7,734,571",30
2002,12,"28,788,719","7,702,725",27
2003,1,"18,105,418","5,962,353",33
2003,2,"346,996,718","171,738,759",49
2003,3,"126,757,978","44,061,192",35
2003,4,"150,462,358","51,050,989",34
2003,5,"274,906,274","92,718,314",34
2003,6,"267,379,765","65,413,845",24
2003,7,"105,920,075","51,053,037",48
2003,8,"17,995,631","5,059,895",28
2003,9,"330,130,408","158,577,891",48
2003,10,"7,879,091","2,038,725",26
2003,11,"127,977,643","47,163,914",37
2003,12,"90,132,629","29,074,277",32
2004,1,"6,803,579","1,459,030",21
2004,2,"53,637,938","19,744,105",37
2004,3,"8,588,470","1,845,329",21
2004,4,"81,753,330","34,568,638",42
2004,5,"11,504,985","2,685,218",23
2004,6,"16,722,918","4,318,857",26
2004,7,"5,770,519","2,133,024",37
2004,8,"1,922,242","567,349",30
2004,9,"156,266,615","86,764,341",56
2004,10,"25,665,435","15,753,888",61
2004,11,"22,479,524","6,830,584",30
2004,12,"33,581,159","9,257,252",28
