YEAR,(kg/yr),+/- (kg/yr) +/-,Percent
1990,"5,870,000","645,000",11
1991,"2,020,000","217,000",11
1992,"2,690,000","236,000",9
1993,"7,020,000","632,000",9
1994,"6,930,000","689,000",10
1995,"2,800,000","234,000",8
1996,"9,079,100","729,600",8
1997,"4,575,831","354,888",8
1998,"10,748,025","1,442,847",13
1999,"1,829,839","216,099",12
2000,"2,315,748","210,024",9
2001,"1,775,771","189,046",11
2002,"978,331","109,405",11
2003,"11,717,243","1,253,882",11
2004,"6,957,163","877,289",13
