YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1985,1,"28,234,669","4,531,174",16
1985,2,"42,610,908","8,615,871",20
1985,3,"76,055,314","9,829,975",13
1985,4,"93,363,384","15,509,452",17
1985,5,"24,532,377","3,319,392",14
1985,6,"16,356,513","2,297,105",14
1985,7,"9,555,055","1,263,190",13
1985,8,"6,481,432","877,045",14
1985,9,"8,701,432","1,319,299",15
1985,10,"11,772,430","1,717,808",15
1985,11,"112,065,597","21,648,548",19
1985,12,"86,380,593","14,183,301",16
1986,1,"31,354,714","4,766,771",15
1986,2,"108,190,797","16,768,463",15
1986,3,"540,669,054","111,967,486",21
1986,4,"129,943,546","22,279,868",17
1986,5,"28,314,960","3,436,889",12
1986,6,"37,338,838","4,587,560",12
1986,7,"16,954,930","1,864,273",11
1986,8,"18,677,698","2,111,290",11
1986,9,"5,689,997","661,938",12
1986,10,"12,493,284","1,441,525",12
1986,11,"89,781,295","15,476,101",17
1986,12,"89,072,094","10,334,187",12
1987,1,"18,766,657","2,013,448",11
1987,2,"11,254,941","1,275,051",11
1987,3,"73,634,605","8,627,140",12
1987,4,"263,939,589","39,736,052",15
1987,5,"25,655,524","2,757,429",11
1987,6,"12,075,066","1,269,194",11
1987,7,"16,813,170","1,871,303",11
1987,8,"4,935,099","582,217",12
1987,9,"38,059,836","4,620,575",12
1987,10,"13,079,799","1,353,606",10
1987,11,"17,389,773","1,971,823",11
1987,12,"39,679,792","4,658,389",12
1988,1,"14,203,536","1,589,659",11
1988,2,"71,728,471","10,987,419",15
1988,3,"50,002,110","5,261,022",11
1988,4,"31,525,728","3,274,830",10
1988,5,"160,330,029","25,453,021",16
1988,6,"11,596,998","1,302,436",11
1988,7,"6,960,041","775,504",11
1988,8,"6,040,809","652,174",11
1988,9,"9,170,737","960,280",10
1988,10,"4,619,789","529,367",11
1988,11,"21,593,736","2,353,099",11
1988,12,"9,349,574","1,043,750",11
1989,1,"13,391,695","1,417,893",11
1989,2,"15,538,766","1,808,447",12
1989,3,"45,688,071","5,837,511",13
1989,4,"129,963,354","18,674,115",14
1989,5,"416,741,807","51,856,697",12
1989,6,"174,495,532","22,672,338",13
1989,7,"58,178,607","5,924,239",10
1989,8,"10,121,716","989,784",10
1989,9,"6,514,671","726,240",11
1989,10,"33,538,747","4,837,697",14
1989,11,"29,686,078","3,383,609",11
