YEAR,Month,(kg/mo),+/- (kg/mo),+/- Pct
1985,1,"20,218","3,797",19
1985,2,"126,637","31,343",25
1985,3,"33,730","6,015",18
1985,4,"29,744","5,748",19
1985,5,"29,174","6,135",21
1985,6,"11,919","2,380",20
1985,7,"4,456",903,20
1985,8,"12,189","3,075",25
1985,9,"360,133","219,732",61
1985,10,"158,047","47,457",30
1985,11,"33,963","6,612",19
1985,12,"81,253","16,778",21
1986,1,"250,280","104,384",42
1986,2,"334,335","68,797",21
1986,3,"209,751","53,665",26
1986,4,"57,232","10,199",18
1986,5,"19,014","3,471",18
1986,6,"5,596","1,093",20
1986,7,"3,422",725,21
1986,8,"5,963","1,281",21
1986,9,"2,959",641,22
1986,10,"3,577",786,22
1986,11,"14,005","3,292",24
1986,12,"658,686","297,979",45
1987,1,"752,016","208,810",28
1987,2,"293,931","58,102",20
1987,3,"497,023","187,591",38
1987,4,"105,199","18,751",18
1987,5,"81,042","15,861",20
1987,6,"17,299","3,350",19
1987,7,"5,980","1,292",22
1987,8,"1,443",372,26
1987,9,"2,680",605,23
1987,10,"3,575",760,21
1987,11,"5,271","1,138",22
1987,12,"7,730","1,480",19
1988,1,"39,787","10,909",27
1988,2,"281,143","95,503",34
1988,3,"77,978","14,243",18
1988,4,"93,294","18,700",20
1988,5,"174,871","37,558",21
1988,6,"20,974","4,163",20
1988,7,"9,277","2,091",23
1988,8,"9,097","2,021",22
1988,9,"8,752","1,776",20
1988,10,"7,553","1,549",21
1988,11,"85,161","28,996",34
1988,12,"66,425","13,343",20
1989,1,"86,005","16,048",19
1989,2,"179,592","48,993",27
1989,3,"1,023,656","403,792",39
1989,4,"499,719","122,125",24
1989,5,"1,275,806","334,934",26
1989,6,"762,780","203,392",27
1989,7,"325,669","80,563",25
1989,8,"141,877","28,070",20
1989,9,"286,507","86,759",30
1989,10,"278,229","61,462",22
1989,11,"193,926","37,392",19
1989,12,"79,137","13,759",17
1990,1,"392,718","84,077",21
1990,2,"132,428","23,970",18
1990,3,"123,381","24,094",20
1990,4,"275,370","54,309",20
1990,5,"774,010","302,768",39
1990,6,"108,720","28,818",27
1990,7,"44,000","9,700",22
1990,8,"32,418","8,594",27
1990,9,"10,712","1,887",18
1990,10,"19,387","5,548",29
1990,11,"9,885","1,783",18
1990,12,"30,226","6,762",22
1991,1,"568,429","152,369",27
1991,2,"75,688","13,248",18
1991,3,"210,022","41,548",20
1991,4,"201,239","36,200",18
1991,5,"58,057","10,119",17
1991,6,"59,182","18,041",30
1991,7,"186,960","81,205",43
1991,8,"27,946","5,028",18
1991,9,"11,259","2,035",18
1991,10,"12,184","2,126",17
1991,11,"9,887","1,708",17
1991,12,"60,038","10,656",18
1992,1,"46,977","8,867",19
1992,2,"45,684","10,058",22
1992,3,"207,517","51,693",25
1992,4,"62,897","12,357",20
1992,5,"89,968","25,573",28
1992,6,"47,135","12,218",26
1992,7,"7,002","1,315",19
1992,8,"55,913","21,136",38
1992,9,"19,421","4,913",25
1992,10,"16,374","2,995",18
1992,11,"37,045","6,993",19
1992,12,"96,794","19,798",20
1993,1,"155,362","28,807",19
1993,2,"139,401","27,734",20
1993,3,"1,391,797","392,254",28
1993,4,"402,340","82,144",20
1993,5,"62,106","10,931",18
1993,6,"13,086","2,424",19
1993,7,"2,779",567,20
1993,8,"1,940",418,22
1993,9,"1,834",398,22
1993,10,"2,901",580,20
1993,11,"5,853","1,391",24
1993,12,"21,617","4,037",19
1994,1,"273,119","92,764",34
1994,2,"661,711","197,604",30
1994,3,"4,130,969","1,502,033",36
1994,4,"379,882","78,062",21
1994,5,"62,075","11,123",18
1994,6,"18,485","3,352",18
1994,7,"37,742","9,705",26
1994,8,"139,379","40,274",29
1994,9,"66,236","20,765",31
1994,10,"21,279","3,931",18
1994,11,"23,407","4,538",19
1994,12,"37,611","6,575",17
1995,1,"158,624","38,431",24
1995,2,"59,454","10,571",18
1995,3,"264,325","80,925",31
1995,4,"34,622","6,135",18
1995,5,"50,954","9,287",18
1995,6,"12,902","2,256",17
1995,7,"5,166","1,042",20
1995,8,"3,836",994,26
1995,9,"2,730",562,21
1995,10,"16,465","3,447",21
1995,11,"67,148","17,333",26
1995,12,"66,134","13,070",20
1996,1,"511,931","182,802",36
1996,2,"277,370","53,358",19
1996,3,"203,622","39,366",19
1996,4,"599,175","170,047",28
1996,5,"269,796","55,235",20
1996,6,"655,943","252,014",38
1996,7,"86,817","20,968",24
1996,8,"219,450","90,837",41
1996,9,"22,157","4,330",20
1996,10,"124,104","31,821",26
1996,11,"37,388","6,721",18
1996,12,"1,663,451","611,788",37
1997,1,"173,841","33,836",19
1997,2,"300,323","64,535",21
1997,3,"224,328","44,767",20
1997,4,"215,091","54,499",25
1997,5,"269,203","97,582",36
1997,6,"49,254","10,718",22
1997,7,"6,195","1,152",19
1997,8,"41,096","18,000",44
1997,9,"4,264",769,18
1997,10,"3,582",670,19
1997,11,"45,054","10,029",22
1997,12,"31,124","5,677",18
1998,1,"671,371","278,888",42
1998,2,"840,683","211,440",25
1998,3,"882,919","208,922",24
1998,4,"85,962","15,470",18
1998,5,"71,154","17,120",24
1998,6,"15,547","2,898",19
1998,7,"4,306",842,20
1998,8,"20,860","9,342",45
1998,9,"4,102",805,20
1998,10,"2,153",401,19
1998,11,"2,423",488,20
1998,12,"3,705",713,19
1999,1,"67,657","14,271",21
1999,2,"55,046","10,151",18
1999,3,"222,897","50,263",23
1999,4,"97,777","18,357",19
1999,5,"17,186","3,233",19
1999,6,"4,888",947,19
1999,7,"2,952",813,28
1999,8,"2,961",964,33
1999,9,"1,717,747","975,330",57
1999,10,"34,013","6,303",19
1999,11,"28,863","5,480",19
1999,12,"80,448","17,237",21
2000,1,"47,651","8,667",18
2000,2,"209,492","48,652",23
2000,3,"891,564","326,354",37
2000,4,"325,657","68,553",21
2000,5,"53,943","10,123",19
2000,6,"24,513","4,503",18
2000,7,"44,914","10,861",24
2000,8,"80,821","24,660",31
2000,9,"184,326","65,788",36
2000,10,"34,101","7,142",21
2000,11,"17,198","3,357",20
2000,12,"98,768","31,638",32
2001,1,"130,561","36,707",28
2001,2,"203,955","42,645",21
2001,3,"628,800","208,415",33
2001,4,"198,497","44,466",22
2001,5,"108,419","35,235",32
2001,6,"1,583,698","786,218",50
2001,7,"60,680","14,608",24
2001,8,"13,228","2,600",20
2001,9,"6,207","1,107",18
2001,10,"3,926",697,18
2001,11,"3,590",677,19
2001,12,"4,840",915,19
2002,1,"7,632","1,455",19
2002,2,"7,148","1,412",20
2002,3,"26,188","5,416",21
2002,4,"43,739","9,500",22
2002,5,"93,639","19,400",21
2002,6,"24,594","6,129",25
2002,7,"2,567",521,20
2002,8,"1,042",335,32
2002,9,"11,979","3,612",30
2002,10,"33,373","7,434",22
2002,11,"395,207","122,367",31
2002,12,"368,095","83,194",23
2003,1,"206,707","47,402",23
2003,2,"931,935","386,696",41
2003,3,"911,304","214,387",24
2003,4,"399,523","97,458",24
2003,5,"295,073","81,975",28
2003,6,"1,026,998","317,543",31
2003,7,"279,081","77,533",28
2003,8,"88,233","19,669",22
2003,9,"401,198","122,169",30
2003,10,"88,453","27,683",31
2003,11,"366,242","94,166",26
2003,12,"642,934","149,601",23
2004,1,"95,419","18,933",20
2004,2,"415,132","161,332",39
2004,3,"81,524","16,735",21
2004,4,"923,426","363,401",39
2004,5,"72,049","15,613",22
2004,6,"42,854","13,221",31
2004,7,"60,057","20,017",33
2004,8,"9,086","2,045",23
2004,9,"6,819","1,595",23
2004,10,"5,951","1,393",23
2004,11,"32,316","9,034",28
2004,12,"65,568","15,721",24
