riverseg, landseg, area (acres) ***
JA4_7280_7340,A51145,40120.38
JA4_7280_7340,A51147,15954.06
JA4_7340_7470,A51007,1018.42
JA4_7340_7470,A51041,8098.57
JA4_7340_7470,A51145,3835.04
JA4_7470_7480,A51007,17942.05
JA4_7470_7480,A51041,18077.57
JA5_7460_0000,A51041,9298.47
JA5_7460_0000,A51670,2229.34
JA5_7460_0000,A51149,3033.34
JA5_7480_0001,A51007,34097.24
JA5_7480_0001,A51041,36920.93
JA5_7480_0001,A51053,43600.96
JA5_7480_0001,A51135,8687.41
JA5_7520_0000,A51041,9252.46
JA5_7520_0000,A51570,2908.13
JA5_7520_0000,A51053,7024.51
JA5_7520_0000,A51730,9796.6
JA5_7520_0000,A51149,3206.86
JB0_7050_0000,A51036,32788.85
JB0_7050_0000,A51095,32583.96
JB0_7050_0000,A51127,3067.35
JB0_7051_0001,A51095,2864.68
JB0_7052_0001,A51095,1755.96
JB0_7052_0001,A51127,26237.39
JB0_7071_0000,A51041,57730.83
JB0_7071_0000,A51087,24036.18
JB0_7071_0000,A51760,19692.48
JB0_7072_0000,A51095,28762.76
JB0_7072_0000,A51181,35329.83
JB0_7072_0000,A51830,4200.37
JB0_7072_0000,A51199,116.28
JB0_7073_0000,A51036,5002.14
JB0_7073_0000,A51041,7784.3
JB0_7073_0000,A51087,31467.68
JB0_7074_0000,A51036,44348.82
JB0_7074_0000,A51041,469.02
JB0_7074_0000,A51670,4143.8
JB0_7074_0000,A51149,35713.37
JB0_7075_0000,A51670,225.58
JB0_7076_0000,A51041,6494.49
JB0_7270_0000,A51036,11725.8
JB0_7270_0000,A51149,35808.86
JB0_7270_0000,A51181,18412.77
JB0_7271_0000,A51036,676.65
JB0_7271_0000,A51181,6255.68
JB0_7381_0000,A51550,6421.51
JB0_7381_0000,A51710,8210.22
JB0_7381_0000,A51810,9369.01
JB0_7382_0000,A51550,36879.78
JB0_7382_0000,A51710,317.44
JB0_7382_0000,A51740,4972.84
JB0_7383_0000,A51550,13220.63
JB0_7383_0000,A51740,8751.64
JB0_7383_0000,A51800,2412.9
JB0_7390_0000,A51650,1603.46
JB0_7390_0000,A51093,67471.81
JB0_7390_0000,A51095,4806.79
JB0_7390_0000,A51700,36581.84
JB0_7390_0000,A51740,1643.7
JB0_7390_0000,A51800,8496.71
JB0_7390_0000,A51181,9265.31
JB0_7390_0000,A51199,7488.23
JB0_7391_0000,A51095,1510.97
JB0_7391_0000,A51199,140.83
JB0_7392_0000,A51181,955.63
JB0_7393_0000,A51710,6788.86
JB0_7394_0000,A51710,239.22
JB0_7395_0000,A51740,628.95
JB0_7396_0000,A51710,8833.6
JB0_7397_0000,A51740,3967.29
JB0_7398_0000,A51710,2409.43
JB0_7399_0000,A51740,1712.95
JB0_7580_0000,A51650,7272.99
JB0_7580_0000,A51700,2340.74
JB0_7660_0000,A51810,36159.95
JB0_7661_0000,A51710,7941.69
JB0_7661_0000,A51810,9022.17
JB0_7662_0000,A51810,1803.73
JB0_7760_0000,A51800,45773.63
JB1_8090_0001,A51093,4982.72
JB1_8090_0001,A51800,36017.85
JB2_7800_0001,A51093,29931.34
JB2_7800_0001,A51800,11537.76
JB3_6820_7053,A51036,11489.42
JB3_6820_7053,A51085,46660.41
JB3_6820_7053,A51087,73930.61
JB3_6820_7053,A51127,24639.91
JB3_6820_7053,A51760,4031.1
JB3_7053_0001,A51036,11592.38
JB3_7053_0001,A51127,20768.38
JL1_6560_6440,A51003,48645.31
JL1_6560_6440,B51003,11912.01
JL1_6560_6440,A51125,357.52
JL1_6760_6910,A51003,71364.92
JL1_6760_6910,A51065,2547.84
JL1_6770_6850,A51003,4193.88
JL1_6770_6850,B51003,293.66
JL1_6770_6850,A51125,24800.32
JL1_6770_6850,B51125,30195.14
JL1_6910_6960,A51065,14199.65
JL1_6940_7200,A51125,27082.77
JL1_6940_7200,B51125,32531.79
JL1_7080_7190,A51009,5456.22
JL1_7080_7190,B51009,15189.17
JL1_7080_7190,A51125,2707.59
JL1_7080_7190,B51125,6975.04
JL1_7170_6800,A51049,11734.39
JL1_7170_6800,A51145,39983.29
JL1_7190_7250,A51009,9067.56
JL1_7190_7250,A51125,5954.66
JL1_7200_7250,A51125,8373.95
JL1_7530_7430,A51011,37393.34
JL1_7530_7430,A51031,121.85
JL2_6240_6520,A51003,47334.94
JL2_6240_6520,B51003,1699.54
JL2_6240_6520,A51079,33043.47
JL2_6240_6520,B51079,26557.27
JL2_6240_6520,A51137,4599.14
JL2_6440_6441,A51003,32868.69
JL2_6440_6441,B51003,43950.3
JL2_6441_6520,A51003,33435.72
JL2_6850_6890,A51003,24158.05
JL2_6850_6890,A51125,74791.02
JL2_7110_7120,A51011,176.32
JL2_7110_7120,A51029,144709.69
JL2_7120_6970,A51029,12097.1
JL2_7240_7350,A51009,77050.35
JL2_7240_7350,B51009,15889.24
JL2_7240_7350,A51125,353.47
JL2_7250_7090,A51009,2593.47
JL2_7250_7090,A51125,11233.13
JL2_7350_7090,A51009,1586.24
JL2_7350_7090,A51125,3289.83
JL3_7020_7100,A51029,98080.09
JL3_7020_7100,A51049,80052.32
JL3_7090_7150,A51125,42235.46
JL4_6520_6710,A51003,96441.64
JL4_6520_6710,A51540,6567.89
JL4_6520_6710,A51065,51206.07
JL4_6520_6710,A51109,8716.61
JL4_6710_6740,A51065,43853.26
JL4_6710_6740,A51109,349.06
JL6_6740_7100,A51049,3922.75
JL6_6740_7100,A51065,35920.53
JL6_6740_7100,A51075,41078.21
JL6_6740_7100,A51109,1488.77
JL6_6890_6990,A51003,39151.98
JL6_6890_6990,A51029,21091.1
JL6_6960_6970,A51029,1695.31
JL6_6960_6970,A51065,17147.51
JL6_6970_6740,A51029,13978.78
JL6_6970_6740,A51049,6524.82
JL6_6970_6740,A51065,16734.48
JL6_6990_6960,A51029,10516.53
JL6_6990_6960,A51065,3742.18
JL6_7150_6890,A51029,28978.68
JL6_7150_6890,A51125,16860.01
JL6_7160_7440,A51009,52602.65
JL6_7160_7440,B51009,39340.04
JL6_7160_7440,A51019,17790.63
JL6_7160_7440,B51019,21471.35
JL6_7320_7150,A51011,14255.28
JL6_7320_7150,A51029,19541.86
JL6_7320_7150,A51125,10722.02
JL6_7430_7320,A51009,6152.12
JL6_7430_7320,A51011,22211.48
JL6_7430_7320,A51125,5075.21
JL6_7440_7430,A51009,81537.16
