TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.079399,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,94.03442,1.5,20.00000,0.265860,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,3.108807,1.5,20.00000,8.041674,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,100.0000,1.5,20.00000,0.100426,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,100.0000,1.5,20.00000,0.042872,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,96.01473,1.5,20.00000,0.260376,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,85.72584,1.5,20.00000,0.291630,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,100.0000,1.5,20.00000,0.184957,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,68.50857,1.5,20.00000,0.364918,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,100.0000,1.5,20.00000,0.084263,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,100.0000,1.5,20.00000,0.240467,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,51.83405,1.5,20.00000,0.482308,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,40.06231,1.5,20.00000,0.624028,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,76.00621,1.5,20.00000,0.328921,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,100.0000,1.5,20.00000,0.151390,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,100.0000,1.5,20.00000,0.194764,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,95.39629,1.5,20.00000,0.262064,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,99.73234,1.5,20.00000,0.250671,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,100.0000,1.5,20.00000,0.246517,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24033,50,1.000000,84.05611,1.5,20.00000,0.297420,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24035,50,1.000000,100.0000,1.5,20.00000,0.082501,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24037,50,1.000000,100.0000,1.5,20.00000,0.133356,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24039,50,1.000000,30.85147,1.5,20.00000,0.810334,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
