landseg,SORGN,UORGN,LROGN,AORGN
A10001,     0.000,    39.342,    69.837,     1.956
A10003,     0.000,   172.011,    67.241,     1.871
A10005,     0.000,     0.000,    58.219,     2.161
A11001,     0.000,    65.363,    52.246,     1.289
A24001,     0.000,   153.003,    65.162,     1.767
A24003,     0.000,   143.825,    67.335,     2.010
A24005,     0.000,    78.471,    75.736,     2.300
A24009,     0.000,    95.787,    72.047,     2.026
A24011,     0.000,   108.968,    69.898,     1.917
A24013,     0.000,   133.233,    68.640,     2.082
A24015,     0.000,    72.395,    69.768,     2.217
A24017,     0.000,    48.119,    18.189,     0.723
A24019,     0.000,    70.073,    43.171,     1.210
A24021,     0.000,   137.553,    64.063,     1.739
A24023,     0.000,   152.512,    65.592,     1.891
A24025,     0.000,   120.337,    73.046,     2.158
A24027,     0.000,   120.081,    70.029,     2.244
A24029,     0.000,   141.854,    69.782,     1.576
A24031,     0.000,    97.220,    72.873,     2.366
A24033,     0.000,    82.734,    64.785,     1.743
A24035,     0.000,    72.449,    72.582,     1.697
A24037,     0.000,   116.867,    48.410,     1.024
A24039,     0.000,    76.535,    37.950,     0.953
A24041,     0.000,   117.589,    68.088,     1.583
A24043,     0.000,    17.849,    76.268,     2.223
A24045,     0.000,    23.691,    28.883,     1.033
A24047,     0.000,    34.871,    26.647,     1.024
A24510,     0.000,   160.796,    70.560,     1.866
A36003,     0.000,   199.713,    58.341,     1.497
A36007,     0.000,   131.400,    62.962,     2.043
A36015,     0.000,   164.792,    55.719,     1.770
A36017,     0.000,   133.005,    68.598,     2.129
A36023,     0.000,   129.460,    70.610,     2.185
A36025,     0.000,   147.075,    70.387,     2.514
A36043,     0.000,    87.024,    70.057,     2.563
A36051,     0.000,   170.084,    56.080,     1.394
A36053,     0.000,    60.103,    53.625,     1.802
A36065,     0.000,    78.599,    69.556,     2.438
A36067,     0.000,    75.150,    70.280,     2.392
A36069,     0.000,   159.940,    64.017,     1.793
A36077,     0.000,   137.236,    69.666,     2.299
A36095,     0.000,   148.482,    70.862,     2.499
A36097,     0.000,   171.195,    62.557,     1.762
A36101,     0.000,   139.997,    61.602,     1.725
A36107,     0.000,   159.002,    59.323,     1.876
A36109,     0.000,   195.137,    63.175,     1.867
A36123,     0.000,   156.571,    63.703,     1.765
A42001,     0.000,   110.268,    25.699,     0.853
A42009,     0.000,    93.265,    63.594,     1.975
A42011,     0.000,   195.500,    65.351,     1.836
A42013,     0.000,   132.226,    70.303,     2.029
A42015,     0.000,    95.914,    51.048,     1.954
A42021,     0.000,   109.534,    42.551,     1.341
A42023,     0.000,   127.185,    41.237,     1.306
A42025,     0.000,   193.791,    68.763,     2.869
A42027,     0.000,    63.970,    77.657,     2.018
A42029,     0.000,   130.703,    69.440,     2.257
