TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A24013,1,1,0,1,1,0,0,0,1,0,12.00000,0.052689,284,0.070,0.,0.944966,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.272629,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24015,1,1,0,1,1,0,0,0,1,0,12.00000,0.063600,359,0.036,0.,0.958721,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24017,1,1,0,1,1,0,0,0,1,0,8.000000,0.041870,364,0.034,0.,0.920000,40,35,2,2,0,0,0.049478,NA,0.6,0.25,3.496762,0.312914,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.576000,0.576000,0.576000,0.576000,0.576000,0.672000,0.912000,0.960000,0.960000,0.768000,0.672000,0.624000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24019,1,1,0,1,1,0,0,0,1,0,8.000000,0.058475,555,0.006,0.,0.941183,40,35,2,2,0,0,0.046308,NA,0.6,0.25,2.000000,0.468756,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.576000,0.576000,0.576000,0.576000,0.576000,0.672000,0.912000,0.960000,0.960000,0.768000,0.672000,0.624000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24021,1,1,0,1,1,0,0,0,1,0,12.00000,0.051098,305,0.058,0.,0.950195,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.000000,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24023,1,1,0,1,1,0,0,0,1,0,8.000000,0.075253,247,0.098,0.,0.943111,40,35,2,2,0,0,0.050000,NA,0.6,0.25,2.417807,0.478174,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.576000,0.576000,0.576000,0.576000,0.576000,0.672000,0.912000,0.960000,0.960000,0.768000,0.672000,0.624000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24025,1,1,0,1,1,0,0,0,1,0,12.00000,0.108080,294,0.064,0.,0.960349,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.347544,0.300948,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24027,1,1,0,1,1,0,0,0,1,0,12.00000,0.063275,289,0.067,0.,0.959213,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.037923,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24029,1,1,0,1,1,0,0,0,1,0,12.00000,0.091761,464,0.014,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.000000,0.336429,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
A24031,1,1,0,1,1,0,0,0,1,0,12.00000,0.058359,311,0.055,0.,0.939492,40,35,2,2,0,0,0.001000,NA,0.6,0.25,2.008452,0.424086,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.864000,0.864000,0.864000,0.864000,0.864000,1.008000,1.368000,1.440000,1.440000,1.152000,1.008000,0.936000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.6,NA,5,1,0
