TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,1,1,0,0,1,0,12.00000,0.076862,523,0.008,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.272073851,0.284057454,0.277267571,0.286904805,0.300925036,0.338473559,0.353795095,0.350975424,0.328506428,0.278484479,0.262867539,0.265024673,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10003,1,1,0,1,1,1,0,0,1,0,12.00000,0.076862,431,0.019,0.,0.925911,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.110834,0.313344,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.251433462,0.256175874,0.247949914,0.258560819,0.312679943,0.3628135,0.380204146,0.379088284,0.348247915,0.274225452,0.253608873,0.248643808,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A10005,1,1,0,1,1,1,0,0,1,0,8.019775,0.170783,567,0.005,0.,0.969468,40,35,2,2,0,0,0.024668,NA,0.7,NA,1.318482,0.560250,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.673661,0.673661,0.673661,0.673661,0.673661,0.785938,1.066630,1.122769,1.122769,0.898215,0.785938,0.729800,0.243320346,0.245002433,0.236058624,0.24791295,0.315601363,0.37060446,0.391365331,0.390969546,0.35776534,0.274895898,0.250355282,0.242330883,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A11001,1,1,0,1,1,1,0,0,1,0,12.00000,0.044006,275,0.076,0.,0.963073,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.725749,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.23646892,0.236782207,0.228103261,0.236119212,0.327718563,0.387272716,0.396357424,0.396283709,0.355819996,0.262146024,0.245416973,0.236284633,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24001,1,1,0,1,1,1,0,0,1,0,12.00000,0.026786,239,0.105,0.,0.920000,40,35,2,2,0,0,0.008331,NA,0.7,NA,2.000000,0.438164,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.240205342,0.242485054,0.234535854,0.239739164,0.330795033,0.388307626,0.389185757,0.388649355,0.346862526,0.255735523,0.245911558,0.238864335,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24003,1,1,0,1,1,1,0,0,1,0,12.00000,0.061667,336,0.044,0.,0.980493,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.145451,0.437647,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.263915072,0.273586514,0.266623202,0.274432931,0.309938931,0.352660679,0.362227684,0.359952051,0.331791975,0.270774452,0.258216301,0.258225989,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24005,1,1,0,1,1,1,0,0,1,0,12.00000,0.090405,281,0.073,0.,0.956668,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.197956,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.260705223,0.260705223,0.252094434,0.244018995,0.248550498,0.355437495,0.38260559,0.38164466,0.378867848,0.282289268,0.264719355,0.256621272,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24009,1,1,0,1,1,1,0,0,1,0,12.00000,0.086371,321,0.050,0.,0.920000,40,35,2,2,0,0,0.001000,NA,0.7,NA,3.077707,0.332385,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.246327062,0.248645707,0.239611367,0.253005911,0.310568517,0.363587352,0.389043765,0.388498201,0.358324502,0.280098224,0.252457799,0.244963153,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24011,1,1,0,1,1,1,0,0,1,0,9.767185,0.082925,549,0.006,0.,0.946019,40,35,2,2,0,0,0.023216,NA,0.7,NA,2.000000,0.321404,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,0.820444,0.820444,0.820444,0.820444,0.820444,0.957184,1.299036,1.367406,1.367406,1.093925,0.957184,0.888814,0.242346286,0.242642217,0.232882223,0.248982558,0.307864891,0.3630849,0.396420722,0.396351091,0.367273948,0.286135851,0.251800556,0.242172209,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
A24013,1,1,0,1,1,1,0,0,1,0,12.00000,0.052689,284,0.070,0.,0.944966,40,35,2,2,0,0,0.001000,NA,0.7,NA,2.272629,0.300000,NA,0.067,0.065,0.062,0.06,0.064,0.085,0.138,0.15,0.146,0.109,0.087,0.077,1.008000,1.008000,1.008000,1.008000,1.008000,1.176000,1.596000,1.680000,1.680000,1.344000,1.176000,1.092000,0.271545796,0.271545796,0.263586053,0.256098862,0.249941537,0.347491409,0.371735676,0.370073461,0.367670352,0.285043074,0.270450312,0.264481385,0.232,0.221,0.208,0.2,0.218,0.312,0.547,0.6,0.582,0.416,0.322,0.276,NA,NA,0.7,NA,5,1,0
