TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.068015,0.003430,0.,10.00000,0.068015,na,na,0.068015,0.000688,0.,10.00000,0.068015,na,na,0.010197,0.007918,0.000254,5.826324,0.010197,na,na,0.000100,0.007918,0.000260,0.971054,0.000100,217.2799,44655.56,0.0001,1.07,4602.355,66.68587,0.0001,1.07,1.617875,3.157959,0.0001,1.07,1.617875,3.157959,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.076914,0.011162,0.,7.888392,0.076914,na,na,0.076914,0.002229,0.,7.888392,0.076914,na,na,0.009853,0.003372,0.000531,3.473994,0.009853,na,na,0.000100,0.003372,0.000531,0.578998,0.000100,52.21907,48891.27,0.0001,1.07,19150.09,51.03627,0.0001,1.07,2.283273,2.403248,0.0001,1.07,2.283273,2.403248,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.099133,0.006697,0.,10.00000,0.099133,na,na,0.080706,0.001335,0.,10.00000,0.080706,na,na,0.008071,0.009185,0.000076,6.517166,0.008071,na,na,0.000100,0.009185,0.000076,1.086197,0.000100,347.2881,50000.00,0.0001,1.07,2879.453,142.9350,0.0001,1.07,0.796249,2.321189,0.0001,1.07,0.796249,2.321189,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.006029,0.000138,0.,10.00000,0.006029,na,na,0.005317,0.000100,0.,10.00000,0.005317,na,na,0.000532,0.003888,0.000285,3.883671,0.000532,na,na,0.000100,0.003888,0.000285,0.647277,0.000100,7.508917,47734.89,0.0001,1.07,50000.00,118.4414,0.0001,1.07,1.748806,3.125401,0.0001,1.07,1.748806,3.125401,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.078915,0.003647,0.,10.00000,0.078915,na,na,0.078915,0.000730,0.,10.00000,0.078915,na,na,0.011932,0.011248,0.000175,5.111984,0.011932,na,na,0.000100,0.011248,0.000180,0.851996,0.000100,81.15701,47028.10,0.0001,1.07,12321.78,64.65892,0.0001,1.07,1.182226,3.102229,0.0001,1.07,1.182226,3.102229,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.052957,0.000100,0.,8.968616,0.052957,na,na,0.052957,0.000100,0.,8.968616,0.052957,na,na,0.007786,0.010406,0.000162,4.033134,0.007786,na,na,0.000100,0.010406,0.000162,0.672189,0.000100,60.01063,46218.11,0.0001,1.07,16663.71,95.89960,0.0001,1.07,1.542767,4.859209,0.0001,1.07,1.542767,4.859209,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.026731,0.001266,0.,5.520633,0.026731,na,na,0.026731,0.000254,0.,5.520633,0.026731,na,na,0.003711,0.001770,0.000977,2.136194,0.003711,na,na,0.000100,0.001770,0.000977,0.356032,0.000100,513.7088,48985.41,0.0001,1.07,1946.627,73.26270,0.0001,1.07,4.353707,3.741223,0.0001,1.07,4.353707,3.741223,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.050491,0.002138,0.,9.537087,0.050491,na,na,0.050491,0.000427,0.,9.537087,0.050491,na,na,0.007362,0.003673,0.000486,3.449912,0.007362,na,na,0.000100,0.003673,0.000486,0.574989,0.000100,405.1765,49566.15,0.0001,1.07,2468.061,73.89449,0.0001,1.07,2.521652,3.033401,0.0001,1.07,2.521652,3.033401,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.343774,0.022228,0.,10.00000,0.343774,na,na,0.343774,0.004449,0.,10.00000,0.343774,na,na,0.054351,0.018959,0.000090,10.00000,0.054351,na,na,0.000100,0.018959,0.000112,1.692047,0.000100,79.11031,46634.54,0.0001,1.07,12640.57,74.96674,0.0001,1.07,0.840543,2.974110,0.0001,1.07,0.840543,2.974110,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.054283,0.008329,0.,10.00000,0.054283,na,na,0.054283,0.001669,0.,10.00000,0.054283,na,na,0.007177,0.002072,0.000772,4.384614,0.007177,na,na,0.000100,0.002072,0.000772,0.730768,0.000100,386.2435,50000.00,0.0001,1.07,2589.041,95.89825,0.0001,1.07,3.398913,3.166216,0.0001,1.07,3.398913,3.166216,0.0001,1.07,0.5,0.1,0,0,1.07,20
