TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A37005,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37009,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37033,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37131,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37135,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37145,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37157,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37169,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37171,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37181,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37185,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A37189,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A42001,50,1.000000,8.094657,1.5,20.00000,3.088459,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42009,50,1.000000,0.943857,1.5,20.00000,26.48704,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42011,50,1.000000,0.471144,1.5,20.00000,53.06238,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42013,50,1.000000,0.785781,1.5,20.00000,31.81545,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42015,50,1.000000,2.894591,1.5,20.00000,8.636796,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42021,50,1.000000,3.716899,1.5,20.00000,6.726037,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42023,50,1.000000,0.010000,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42025,50,1.000000,0.177684,1.5,20.00000,100.0000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42027,50,1.000000,28.98520,1.5,20.00000,0.862510,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42029,50,1.000000,0.550874,1.5,20.00000,45.38245,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42033,50,1.000000,15.43398,1.5,20.00000,1.619804,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42035,50,1.000000,0.851958,1.5,20.00000,29.34414,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42037,50,1.000000,1.233649,1.5,20.00000,20.26509,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42041,50,1.000000,11.17016,1.5,20.00000,2.238105,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42043,50,1.000000,4.682254,1.5,20.00000,5.339308,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42047,50,1.000000,19.37412,1.5,20.00000,1.290381,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42055,50,1.000000,26.80455,1.5,20.00000,0.932678,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A42057,50,1.000000,16.36177,1.5,20.00000,1.527951,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
