TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A36023,1.299000,1,0.03,0.3,0,50,738.7175,5,0.5,2,0,550,109.1730,5,1,8,0,300,11.04200,6,0.5,1,0,100,0,0,0,0,na,na
A36025,3.473500,1,0.03,0.3,0,50,879.5605,5,0.5,2,0,550,99.58550,5,1,8,0,300,11.22650,6,0.5,1,0,100,0,0,0,0,na,na
A36043,0.108000,1,0.03,0.3,0,50,872.1990,5,0.5,2,0,550,66.16251,5,1,8,0,300,7.819000,6,0.5,1,0,100,0,0,0,0,na,na
A36051,4.871500,1,0.03,0.3,0,50,817.0400,5,0.5,2,0,550,59.93800,5,1,8,0,300,4.014000,6,0.5,1,0,100,0,0,0,0,na,na
A36053,4.233000,1,0.03,0.3,0,50,552.5220,5,0.5,2,0,550,140.7065,5,1,8,0,300,13.65050,6,0.5,1,0,100,0,0,0,0,na,na
A36065,2.550000,1,0.03,0.3,0,50,789.2820,5,0.5,2,0,550,72.05150,5,1,8,0,300,8.020500,6,0.5,1,0,100,0,0,0,0,na,na
A36067,4.836500,1,0.03,0.3,0,50,537.8445,5,0.5,2,0,550,107.4850,5,1,8,0,300,12.02650,6,0.5,1,0,100,0,0,0,0,na,na
A36069,7.555000,1,0.03,0.3,0,50,666.5270,5,0.5,2,0,550,53.79550,5,1,8,0,300,3.851000,6,0.5,1,0,100,0,0,0,0,na,na
A36077,2.322000,1,0.03,0.3,0,50,690.7940,5,0.5,2,0,550,76.33100,5,1,8,0,300,8.156000,6,0.5,1,0,100,0,0,0,0,na,na
A36095,4.137000,1,0.03,0.3,0,50,659.3195,5,0.5,2,0,550,98.42350,5,1,8,0,300,10.86050,6,0.5,1,0,100,0,0,0,0,na,na
