TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.291863,0.719672,0,0.029186,0.291863,0.500000,0.000720,0.016100
A10003,1,0,0,1,0,1,0,1,0,0.183897,0.453452,0,0.018390,0.183897,0.500000,0.000454,0.012234
A10005,1,0,0,1,0,1,0,1,0,0.514079,1.267610,0,0.051408,0.514079,0.500000,0.001268,0.010842
A11001,1,0,0,1,0,1,0,1,0,0.397526,0.980214,0,0.039753,0.397526,0.500000,0.000980,0.025119
A24001,1,0,0,1,0,1,0,1,0,0.165221,0.407400,0,0.016522,0.165221,0.500000,0.000407,0.030375
A24003,1,0,0,1,0,1,0,1,0,0.092998,0.229313,0,0.009300,0.092998,0.500000,0.000229,0.014093
A24005,1,0,0,1,0,1,0,1,0,0.089522,0.220742,0,0.008952,0.089522,0.500000,0.000221,0.013661
A24009,1,0,0,1,0,1,0,1,0,0.048829,0.120402,0,0.004883,0.048829,0.500000,0.000120,0.015937
A24011,1,0,0,1,0,1,0,1,0,0.260734,0.642915,0,0.026073,0.260734,0.500000,0.000643,0.013139
A24013,1,0,0,1,0,1,0,1,0,0.199144,0.491046,0,0.019914,0.199144,0.500000,0.000491,0.018001
A24015,1,0,0,1,0,1,0,1,0,0.147221,0.363014,0,0.014722,0.147221,0.500000,0.000363,0.017385
A24017,1,0,0,1,0,1,0,1,0,0.072225,0.178091,0,0.007222,0.072225,0.500000,0.000178,0.022060
A24019,1,0,0,1,0,1,0,1,0,0.244212,0.602174,0,0.024421,0.244212,0.500000,0.000602,0.016131
