TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001022,0.,10.00000,0.005000,na,na,0.005000,0.001022,0.,10.00000,0.005000,na,na,0.000100,0.003616,0.004053,0.941427,0.000100,na,na,0.000100,0.003616,0.004053,0.941427,0.000100,118.3865,50000.00,0.00001,1.07,50000.00,9753.725,0.00001,1.07,27.27676,1226.796,0.00001,1.07,27.27676,1226.796,0.00001,1.07,na,na,na,na,na,na
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001427,0.,10.00000,0.005000,na,na,0.005000,0.001427,0.,10.00000,0.005000,na,na,0.000100,0.000641,0.010000,0.532984,0.000100,na,na,0.000100,0.000641,0.010000,0.532984,0.000100,490.4977,50000.00,0.00001,1.07,38767.88,574.4883,0.00001,1.07,80.57355,966.5449,0.00001,1.07,80.57355,966.5449,0.00001,1.07,na,na,na,na,na,na
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000383,0.,10.00000,0.005000,na,na,0.005000,0.000383,0.,10.00000,0.005000,na,na,0.000100,0.001290,0.008292,0.747288,0.000100,na,na,0.000100,0.001290,0.008292,0.747288,0.000100,290.9021,50000.00,0.00001,1.07,37559.40,15125.29,0.00001,1.07,34.62373,812.8682,0.00001,1.07,34.62373,812.8682,0.00001,1.07,na,na,na,na,na,na
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000158,0.,10.00000,0.005000,na,na,0.005000,0.000158,0.,10.00000,0.005000,na,na,0.000100,0.100000,0.000021,0.473504,0.000100,na,na,0.000100,0.100000,0.000021,0.473504,0.000100,672.8624,50000.00,0.00001,1.07,34251.41,2076.515,0.00001,1.07,0.518748,1149.305,0.00001,1.07,0.518748,1149.305,0.00001,1.07,na,na,na,na,na,na
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001495,0.,10.00000,0.005000,na,na,0.005000,0.001495,0.,10.00000,0.005000,na,na,0.000100,0.001755,0.008917,0.764663,0.000100,na,na,0.000100,0.001755,0.008917,0.764663,0.000100,112.5354,50000.00,0.00001,1.07,50000.00,1148.286,0.00001,1.07,45.97323,1285.703,0.00001,1.07,45.97323,1285.703,0.00001,1.07,na,na,na,na,na,na
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000100,0.,10.00000,0.005000,na,na,0.005000,0.000100,0.,10.00000,0.005000,na,na,0.000100,0.017340,0.000625,0.794844,0.000100,na,na,0.000100,0.017340,0.000625,0.794844,0.000100,1401.342,49930.51,0.00001,1.07,37163.30,1902.905,0.00001,1.07,9.242844,2071.844,0.00001,1.07,9.242844,2071.844,0.00001,1.07,na,na,na,na,na,na
A24025,0.4,9.829871706,76.05981816,60,74.10626944,81.7350589,70.96881411,72.55580036,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001125,0.,10.00000,0.005000,na,na,0.005000,0.001125,0.,10.00000,0.005000,na,na,0.000100,0.003202,0.005090,0.719872,0.000100,na,na,0.000100,0.003202,0.005090,0.719872,0.000100,216.3754,50000.00,0.00001,1.07,46201.58,9274.746,0.00001,1.07,34.24074,1495.346,0.00001,1.07,34.24074,1495.346,0.00001,1.07,na,na,na,na,na,na
A24027,0.4,9.197760165,69.92606107,60,72.0840588,79.18404018,69.37935528,70.91977039,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001265,0.,10.00000,0.005000,na,na,0.005000,0.001265,0.,10.00000,0.005000,na,na,0.000100,0.001305,0.010000,0.645518,0.000100,na,na,0.000100,0.001305,0.010000,0.645518,0.000100,88.81534,5852.082,0.00001,1.07,50000.00,50000.00,0.00001,1.07,58.81792,1106.292,0.00001,1.07,58.81792,1106.292,0.00001,1.07,na,na,na,na,na,na
A24029,0.4,11.48586698,84.6611575,60,76.52072595,84.78089578,86.57554961,88.61981322,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001014,0.,10.00000,0.005000,na,na,0.005000,0.001014,0.,10.00000,0.005000,na,na,0.000100,0.100000,0.000026,0.726626,0.000100,na,na,0.000100,0.100000,0.000026,0.726626,0.000100,161.8857,50000.00,0.00001,1.07,50000.00,1157.571,0.00001,1.07,0.806882,1255.310,0.00001,1.07,0.806882,1255.310,0.00001,1.07,na,na,na,na,na,na
A24031,0.4,8.755937943,66.26503337,60,74.40415743,82.1108446,65.6992694,67.13185799,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001993,0.,10.00000,0.005000,na,na,0.005000,0.001993,0.,10.00000,0.005000,na,na,0.000100,0.000500,0.010000,0.698126,0.000100,na,na,0.000100,0.000500,0.010000,0.698126,0.000100,185.6039,50000.00,0.00001,1.07,46610.40,10697.23,0.00001,1.07,111.2827,1021.133,0.00001,1.07,111.2827,1021.133,0.00001,1.07,na,na,na,na,na,na
